Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 247.96         max: 286.27         Avg: 272.45 (4.15)       | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 1.32       max: 3.68      | [R_te] min: 196.92         max: 294.02         Avg: 268.81 (8.39)       | ent 1.000
Step    2000 (g26.5+d12.4)s       | [D] min: 0.02       max: 2.07      | [R_te] min: 110.09         max: 112.67         Avg: 111.39 (0.28)       | ent 0.741
Step    3000 (g26.6+d12.4)s       | [D] min: 0.06       max: 1.52      | [R_te] min: 281.58         max: 314.99         Avg: 301.66 (3.36)       | ent 0.552
Step    4000 (g26.7+d12.4)s       | [D] min: 0.07       max: 0.33      | [R_te] min: 274.23         max: 321.76         Avg: 305.51 (4.20)       | ent 0.415
Step    5000 (g26.7+d12.5)s       | [D] min: 0.02       max: 0.29      | [R_te] min: 279.61         max: 312.77         Avg: 297.85 (3.24)       | ent 0.313
Step    6000 (g26.7+d12.5)s       | [D] min: 0.07       max: 0.46      | [R_te] min: 299.93         max: 360.64         Avg: 332.24 (6.53)       | ent 0.237
Step    7000 (g26.7+d12.5)s       | [D] min: 0.05       max: 0.34      | [R_te] min: 103.91         max: 156.78         Avg: 125.20 (6.10)       | ent 0.181
Step    8000 (g26.7+d12.5)s       | [D] min: 0.05       max: 0.96      | [R_te] min: 124.78         max: 135.03         Avg: 131.10 (0.93)       | ent 0.139
Step    9000 (g26.7+d12.5)s       | [D] min: 0.03       max: 0.41      | [R_te] min: 85.98          max: 93.04          Avg: 89.11 (0.71)        | ent 0.108
Step   10000 (g26.8+d12.5)s       | [D] min: 0.05       max: 0.14      | [R_te] min: 81.96          max: 93.66          Avg: 88.57 (1.31)        | ent 0.085
Step   11000 (g26.8+d12.5)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 299.63         max: 1218.11        Avg: 483.19 (80.48)      | ent 0.064
Step   12000 (g26.9+d12.5)s       | [D] min: 0.00       max: 1.02      | [R_te] min: 229.64         max: 366.89         Avg: 306.00 (14.62)      | ent 0.049
Step   13000 (g26.9+d12.6)s       | [D] min: 0.00       max: 1.18      | [R_te] min: 127.78         max: 343.81         Avg: 171.75 (18.57)      | ent 0.038
Step   14000 (g26.9+d12.6)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 270.27         max: 541.80         Avg: 369.54 (29.29)      | ent 0.030
Step   15000 (g26.9+d12.6)s       | [D] min: 0.00       max: 0.78      | [R_te] min: 177.21         max: 276.49         Avg: 211.53 (7.97)       | ent 0.024
Step   16000 (g26.9+d12.6)s       | [D] min: 0.05       max: 0.85      | [R_te] min: 160.24         max: 308.42         Avg: 211.64 (16.75)      | ent 0.019
Step   17000 (g26.9+d12.6)s       | [D] min: 0.00       max: 1.41      | [R_te] min: 382.28         max: 508.73         Avg: 423.26 (13.88)      | ent 0.016
Step   18000 (g26.9+d12.6)s       | [D] min: 0.00       max: 1.21      | [R_te] min: 348.19         max: 509.80         Avg: 426.74 (15.37)      | ent 0.014
Step   19000 (g26.9+d12.6)s       | [D] min: 0.00       max: 0.59      | [R_te] min: 244.80         max: 530.53         Avg: 372.52 (25.50)      | ent 0.012
Step   20000 (g26.9+d12.6)s       | [D] min: 0.00       max: 0.13      | [R_te] min: 325.84         max: 510.92         Avg: 387.83 (17.45)      | ent 0.009
Step   21000 (g26.9+d12.6)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 308.89         max: 372.39         Avg: 332.11 (5.48)       | ent 0.008
Step   22000 (g27.0+d12.6)s       | [D] min: 0.00       max: 0.63      | [R_te] min: 288.96         max: 367.21         Avg: 318.26 (9.24)       | ent 0.006
Step   23000 (g27.0+d12.6)s       | [D] min: 0.00       max: 0.90      | [R_te] min: 177.41         max: 232.26         Avg: 212.82 (4.85)       | ent 0.005
Step   24000 (g27.0+d12.6)s       | [D] min: 0.00       max: 0.44      | [R_te] min: 236.29         max: 363.08         Avg: 281.74 (10.83)      | ent 0.004
Step   25000 (g27.0+d12.6)s       | [D] min: 0.00       max: 0.36      | [R_te] min: 260.99         max: 538.26         Avg: 431.12 (27.21)      | ent 0.003
Step   26000 (g27.0+d12.6)s       | [D] min: 0.00       max: 0.29      | [R_te] min: 332.60         max: 551.05         Avg: 465.18 (20.57)      | ent 0.003
Step   27000 (g26.9+d12.6)s       | [D] min: 0.00       max: 0.63      | [R_te] min: 230.05         max: 319.47         Avg: 270.69 (8.63)       | ent 0.002
Step   28000 (g27.0+d12.6)s       | [D] min: 0.16       max: 0.40      | [R_te] min: 278.54         max: 375.20         Avg: 324.30 (9.61)       | ent 0.002
Step   29000 (g27.0+d12.7)s       | [D] min: 0.00       max: 1.20      | [R_te] min: 211.12         max: 535.53         Avg: 382.03 (26.06)      | ent 0.001
Step   30000 (g27.0+d12.7)s       | [D] min: 0.00       max: 0.71      | [R_te] min: 313.71         max: 607.59         Avg: 418.99 (26.39)      | ent 0.001
Step   31000 (g27.0+d12.6)s       | [D] min: 0.00       max: 0.54      | [R_te] min: 252.63         max: 804.73         Avg: 452.06 (45.65)      | ent 0.001
Step   32000 (g27.0+d12.7)s       | [D] min: 0.00       max: 0.77      | [R_te] min: 159.66         max: 412.31         Avg: 221.70 (27.44)      | ent 0.001
Step   33000 (g27.0+d12.6)s       | [D] min: 0.20       max: 0.52      | [R_te] min: 143.02         max: 427.71         Avg: 216.71 (27.15)      | ent 0.000
Step   34000 (g27.0+d12.6)s       | [D] min: 0.13       max: 0.69      | [R_te] min: 235.51         max: 430.21         Avg: 328.32 (19.63)      | ent 0.000
Step   35000 (g27.0+d12.7)s       | [D] min: 0.21       max: 0.70      | [R_te] min: 263.26         max: 394.83         Avg: 332.87 (13.12)      | ent 0.000
Step   36000 (g27.0+d12.7)s       | [D] min: 0.19       max: 0.63      | [R_te] min: 208.38         max: 465.98         Avg: 299.06 (28.98)      | ent 0.000
Step   37000 (g26.9+d12.7)s       | [D] min: 0.21       max: 0.91      | [R_te] min: 214.53         max: 250.02         Avg: 232.41 (3.87)       | ent 0.000
Step   38000 (g27.0+d12.7)s       | [D] min: 0.22       max: 0.53      | [R_te] min: 221.87         max: 302.48         Avg: 264.87 (8.30)       | ent 0.000
Step   39000 (g27.1+d12.7)s       | [D] min: 0.20       max: 0.51      | [R_te] min: 281.36         max: 344.79         Avg: 311.94 (6.00)       | ent 0.000
Step   40000 (g27.0+d12.7)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 277.24         max: 334.49         Avg: 306.69 (5.29)       | ent 0.000
Step   41000 (g27.0+d12.7)s       | [D] min: 0.16       max: 0.40      | [R_te] min: 410.04         max: 550.76         Avg: 472.31 (12.95)      | ent 0.000
Step   42000 (g27.0+d12.7)s       | [D] min: 0.15       max: 0.58      | [R_te] min: 398.66         max: 541.09         Avg: 451.85 (14.61)      | ent 0.000
Step   43000 (g26.9+d12.6)s       | [D] min: 0.13       max: 0.39      | [R_te] min: 280.35         max: 348.87         Avg: 313.05 (7.16)       | ent 0.000
Step   44000 (g27.0+d12.7)s       | [D] min: 0.07       max: 0.34      | [R_te] min: 312.81         max: 400.85         Avg: 355.94 (7.58)       | ent 0.000
Step   45000 (g27.0+d12.7)s       | [D] min: 0.13       max: 0.52      | [R_te] min: 342.28         max: 504.95         Avg: 422.37 (15.43)      | ent 0.000
Step   46000 (g27.0+d12.7)s       | [D] min: 0.06       max: 0.29      | [R_te] min: 311.04         max: 452.55         Avg: 361.28 (13.36)      | ent 0.000
Step   47000 (g26.9+d12.7)s       | [D] min: 0.14       max: 0.37      | [R_te] min: 219.21         max: 288.46         Avg: 238.74 (5.88)       | ent 0.000
Step   48000 (g26.9+d12.6)s       | [D] min: 0.12       max: 0.37      | [R_te] min: 355.53         max: 517.57         Avg: 442.17 (16.71)      | ent 0.000
Step   49000 (g27.0+d12.7)s       | [D] min: 0.11       max: 0.30      | [R_te] min: 303.73         max: 462.71         Avg: 357.27 (17.08)      | ent 0.000
Step   50000 (g27.0+d12.7)s       | [D] min: 0.11       max: 0.27      | [R_te] min: 309.80         max: 574.91         Avg: 468.03 (29.48)      | ent 0.000
Step   51000 (g27.0+d12.7)s       | [D] min: 0.11       max: 0.31      | [R_te] min: 344.64         max: 623.12         Avg: 432.99 (26.32)      | ent 0.000
Step   52000 (g26.9+d12.6)s       | [D] min: 0.13       max: 0.42      | [R_te] min: 385.31         max: 594.22         Avg: 461.65 (20.65)      | ent 0.000
Step   53000 (g27.0+d12.7)s       | [D] min: 0.09       max: 0.30      | [R_te] min: 408.37         max: 562.62         Avg: 474.92 (13.24)      | ent 0.000
Step   54000 (g27.0+d12.7)s       | [D] min: 0.13       max: 0.28      | [R_te] min: 318.70         max: 634.63         Avg: 501.11 (32.73)      | ent 0.000
Step   55000 (g27.0+d12.7)s       | [D] min: 0.14       max: 0.22      | [R_te] min: 308.48         max: 563.84         Avg: 452.27 (25.61)      | ent 0.000
Step   56000 (g26.9+d12.7)s       | [D] min: 0.08       max: 0.32      | [R_te] min: 355.66         max: 513.06         Avg: 446.20 (15.30)      | ent 0.000
Step   57000 (g27.0+d12.7)s       | [D] min: 0.14       max: 0.32      | [R_te] min: 256.28         max: 635.22         Avg: 398.72 (38.86)      | ent 0.000
Step   58000 (g27.0+d12.7)s       | [D] min: 0.15       max: 0.26      | [R_te] min: 233.21         max: 496.52         Avg: 360.16 (26.61)      | ent 0.000
Step   59000 (g27.0+d12.7)s       | [D] min: 0.12       max: 0.27      | [R_te] min: 290.35         max: 402.88         Avg: 352.09 (9.16)       | ent 0.000
Step   60000 (g26.9+d12.7)s       | [D] min: 0.15       max: 0.25      | [R_te] min: 318.85         max: 507.49         Avg: 409.53 (17.03)      | ent 0.000
Step   61000 (g27.0+d12.7)s       | [D] min: 0.16       max: 0.32      | [R_te] min: 353.80         max: 639.79         Avg: 484.50 (29.86)      | ent 0.000
Step   62000 (g27.0+d12.7)s       | [D] min: 0.14       max: 0.24      | [R_te] min: 381.33         max: 1172.23        Avg: 564.45 (69.25)      | ent 0.000
