Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 1.30       max: 2.63      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000
Step    2000 (g21.1+d10.1)s       | [D] min: 0.00       max: 1.09      | [R_te] min: 156.27         max: 165.70         Avg: 160.47 (1.01)       | ent 0.741
Step    3000 (g21.2+d10.1)s       | [D] min: 0.00       max: 0.46      | [R_te] min: 249.73         max: 289.72         Avg: 274.17 (3.47)       | ent 0.552
Step    4000 (g21.2+d10.2)s       | [D] min: 0.00       max: 0.40      | [R_te] min: 276.99         max: 316.59         Avg: 297.40 (3.34)       | ent 0.416
Step    5000 (g21.3+d10.2)s       | [D] min: 0.05       max: 0.20      | [R_te] min: 176.66         max: 405.12         Avg: 280.30 (26.55)      | ent 0.313
Step    6000 (g21.3+d10.2)s       | [D] min: 0.04       max: 0.45      | [R_te] min: 257.99         max: 288.42         Avg: 268.46 (2.83)       | ent 0.237
Step    7000 (g21.3+d10.2)s       | [D] min: 0.03       max: 0.51      | [R_te] min: 80.11          max: 135.22         Avg: 94.39 (4.65)        | ent 0.182
Step    8000 (g21.3+d10.2)s       | [D] min: 0.05       max: 0.64      | [R_te] min: 74.03          max: 77.83          Avg: 76.29 (0.34)        | ent 0.141
Step    9000 (g21.3+d10.3)s       | [D] min: 0.05       max: 0.24      | [R_te] min: 86.85          max: 131.66         Avg: 102.76 (4.10)       | ent 0.110
Step   10000 (g21.4+d10.3)s       | [D] min: 0.00       max: 1.40      | [R_te] min: 70.24          max: 84.95          Avg: 76.74 (1.69)        | ent 0.087
Step   11000 (g21.4+d10.3)s       | [D] min: 0.05       max: 1.99      | [R_te] min: 277.05         max: 379.32         Avg: 321.71 (9.51)       | ent 0.068
Step   12000 (g21.4+d10.3)s       | [D] min: 0.00       max: 2.10      | [R_te] min: 208.33         max: 273.86         Avg: 244.24 (6.58)       | ent 0.053
Step   13000 (g21.4+d10.3)s       | [D] min: 0.05       max: 1.66      | [R_te] min: 267.77         max: 373.29         Avg: 305.13 (9.98)       | ent 0.043
Step   14000 (g21.3+d10.3)s       | [D] min: 0.04       max: 0.46      | [R_te] min: 256.97         max: 319.33         Avg: 290.39 (4.94)       | ent 0.035
Step   15000 (g21.4+d10.3)s       | [D] min: 0.04       max: 1.14      | [R_te] min: 189.04         max: 287.43         Avg: 240.38 (8.70)       | ent 0.028
Step   16000 (g21.4+d10.3)s       | [D] min: 0.00       max: 0.82      | [R_te] min: 289.83         max: 451.69         Avg: 369.79 (17.28)      | ent 0.023
Step   17000 (g21.4+d10.3)s       | [D] min: 0.05       max: 0.50      | [R_te] min: 314.13         max: 629.68         Avg: 463.20 (32.29)      | ent 0.020
Step   18000 (g21.4+d10.3)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 317.30         max: 528.94         Avg: 391.85 (20.12)      | ent 0.017
Step   19000 (g21.4+d10.3)s       | [D] min: 0.05       max: 0.73      | [R_te] min: 319.81         max: 418.06         Avg: 367.51 (10.47)      | ent 0.015
Step   20000 (g21.4+d10.3)s       | [D] min: 0.00       max: 0.79      | [R_te] min: 240.23         max: 288.64         Avg: 270.70 (5.30)       | ent 0.013
Step   21000 (g21.4+d10.3)s       | [D] min: 0.00       max: 0.36      | [R_te] min: 280.08         max: 383.06         Avg: 308.89 (9.67)       | ent 0.011
Step   22000 (g21.4+d10.3)s       | [D] min: 0.00       max: 0.49      | [R_te] min: 313.88         max: 425.74         Avg: 366.10 (12.87)      | ent 0.009
Step   23000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.37      | [R_te] min: 304.14         max: 464.77         Avg: 405.93 (14.63)      | ent 0.008
Step   24000 (g21.4+d10.3)s       | [D] min: 0.05       max: 0.29      | [R_te] min: 245.89         max: 386.48         Avg: 301.82 (15.59)      | ent 0.007
Step   25000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.33      | [R_te] min: 304.83         max: 597.08         Avg: 401.09 (24.59)      | ent 0.006
Step   26000 (g21.4+d10.3)s       | [D] min: 0.07       max: 0.48      | [R_te] min: 250.88         max: 395.49         Avg: 297.89 (15.15)      | ent 0.005
Step   27000 (g21.4+d10.3)s       | [D] min: 0.07       max: 0.25      | [R_te] min: 380.20         max: 579.93         Avg: 444.55 (19.05)      | ent 0.004
Step   28000 (g21.5+d10.3)s       | [D] min: 0.08       max: 0.25      | [R_te] min: 268.23         max: 473.89         Avg: 355.84 (18.20)      | ent 0.003
Step   29000 (g21.4+d10.3)s       | [D] min: 0.08       max: 0.29      | [R_te] min: 248.22         max: 392.92         Avg: 305.75 (14.77)      | ent 0.002
Step   30000 (g21.4+d10.4)s       | [D] min: 0.08       max: 0.31      | [R_te] min: 292.16         max: 820.60         Avg: 415.40 (45.22)      | ent 0.002
Step   31000 (g21.4+d10.3)s       | [D] min: 0.10       max: 0.24      | [R_te] min: 236.90         max: 436.66         Avg: 305.64 (18.42)      | ent 0.002
Step   32000 (g21.5+d10.4)s       | [D] min: 0.09       max: 0.26      | [R_te] min: 181.85         max: 327.69         Avg: 273.56 (13.50)      | ent 0.001
Step   33000 (g21.4+d10.3)s       | [D] min: 0.11       max: 0.37      | [R_te] min: 111.42         max: 232.55         Avg: 152.14 (12.12)      | ent 0.001
Step   34000 (g21.4+d10.3)s       | [D] min: 0.10       max: 0.23      | [R_te] min: 125.84         max: 151.42         Avg: 138.94 (2.58)       | ent 0.000
Step   35000 (g21.4+d10.4)s       | [D] min: 0.10       max: 0.25      | [R_te] min: 224.87         max: 310.82         Avg: 266.35 (9.07)       | ent 0.000
Step   36000 (g21.4+d10.3)s       | [D] min: 0.13       max: 0.26      | [R_te] min: 243.90         max: 292.56         Avg: 263.80 (5.55)       | ent 0.000
Step   37000 (g21.5+d10.4)s       | [D] min: 0.11       max: 0.25      | [R_te] min: 229.89         max: 280.26         Avg: 245.59 (4.70)       | ent 0.000
Step   38000 (g21.5+d10.4)s       | [D] min: 0.19       max: 0.35      | [R_te] min: 278.42         max: 311.56         Avg: 294.27 (3.03)       | ent 0.000
Step   39000 (g21.4+d10.4)s       | [D] min: 0.18       max: 0.33      | [R_te] min: 326.91         max: 446.24         Avg: 379.45 (11.51)      | ent 0.000
Step   40000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.29      | [R_te] min: 304.80         max: 376.18         Avg: 350.84 (7.64)       | ent 0.000
Step   41000 (g21.4+d10.3)s       | [D] min: 0.11       max: 1.57      | [R_te] min: 325.15         max: 398.75         Avg: 371.72 (6.94)       | ent 0.000
Step   42000 (g21.5+d10.4)s       | [D] min: 0.24       max: 2.31      | [R_te] min: 337.64         max: 414.47         Avg: 385.05 (7.69)       | ent 0.000
Step   43000 (g21.4+d10.3)s       | [D] min: 0.31       max: 2.49      | [R_te] min: 285.47         max: 350.78         Avg: 310.31 (6.94)       | ent 0.000
Step   44000 (g21.8+d10.5)s       | [D] min: 0.14       max: 1.64      | [R_te] min: 227.69         max: 246.95         Avg: 240.76 (1.98)       | ent 0.000
Step   45000 (g22.2+d10.6)s       | [D] min: 0.25       max: 1.89      | [R_te] min: 229.36         max: 256.64         Avg: 245.22 (2.58)       | ent 0.000
