Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 247.96         max: 286.27         Avg: 272.45 (4.15)       | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 1.32       max: 3.68      | [R_te] min: 196.92         max: 294.02         Avg: 268.81 (8.39)       | ent 1.000
Step    2000 (g20.9+d10.0)s       | [D] min: 0.12       max: 1.69      | [R_te] min: 109.88         max: 117.90         Avg: 113.92 (1.04)       | ent 0.741
Step    3000 (g21.0+d10.0)s       | [D] min: 0.09       max: 0.56      | [R_te] min: 300.46         max: 349.27         Avg: 323.34 (4.16)       | ent 0.552
Step    4000 (g21.0+d10.0)s       | [D] min: 0.09       max: 0.35      | [R_te] min: 233.61         max: 268.22         Avg: 245.95 (3.44)       | ent 0.415
Step    5000 (g21.0+d10.0)s       | [D] min: 0.08       max: 0.31      | [R_te] min: 391.04         max: 515.05         Avg: 455.82 (12.50)      | ent 0.313
Step    6000 (g21.2+d10.2)s       | [D] min: 0.07       max: 0.35      | [R_te] min: 146.50         max: 405.60         Avg: 184.10 (24.06)      | ent 0.236
Step    7000 (g21.1+d10.1)s       | [D] min: 0.08       max: 0.41      | [R_te] min: 167.30         max: 180.06         Avg: 174.43 (1.14)       | ent 0.180
Step    8000 (g21.1+d10.1)s       | [D] min: 0.07       max: 0.63      | [R_te] min: 100.43         max: 107.63         Avg: 104.07 (0.54)       | ent 0.138
Step    9000 (g21.1+d10.1)s       | [D] min: 0.06       max: 0.23      | [R_te] min: 151.63         max: 196.76         Avg: 171.70 (5.02)       | ent 0.106
Step   10000 (g21.1+d10.1)s       | [D] min: 0.06       max: 0.14      | [R_te] min: 147.19         max: 257.30         Avg: 220.24 (10.91)      | ent 0.083
Step   11000 (g21.1+d10.1)s       | [D] min: 0.06       max: 0.13      | [R_te] min: 250.94         max: 309.80         Avg: 285.05 (4.75)       | ent 0.063
Step   12000 (g21.1+d10.1)s       | [D] min: 0.07       max: 0.22      | [R_te] min: 235.66         max: 336.88         Avg: 287.86 (11.00)      | ent 0.048
Step   13000 (g21.2+d10.2)s       | [D] min: 0.06       max: 0.11      | [R_te] min: 273.25         max: 435.65         Avg: 331.63 (14.56)      | ent 0.037
Step   14000 (g21.3+d10.2)s       | [D] min: 0.06       max: 0.22      | [R_te] min: 294.91         max: 405.95         Avg: 349.23 (11.87)      | ent 0.029
Step   15000 (g21.2+d10.2)s       | [D] min: 0.06       max: 0.19      | [R_te] min: 298.68         max: 442.19         Avg: 357.24 (13.02)      | ent 0.023
Step   16000 (g21.2+d10.2)s       | [D] min: 0.07       max: 0.45      | [R_te] min: 302.14         max: 406.27         Avg: 338.04 (8.66)       | ent 0.019
Step   17000 (g21.2+d10.2)s       | [D] min: 0.03       max: 0.13      | [R_te] min: 134.84         max: 606.48         Avg: 288.25 (41.67)      | ent 0.015
Step   18000 (g21.2+d10.2)s       | [D] min: 0.06       max: 0.13      | [R_te] min: 226.10         max: 362.85         Avg: 266.71 (13.88)      | ent 0.012
Step   19000 (g21.2+d10.2)s       | [D] min: 0.07       max: 0.20      | [R_te] min: 268.84         max: 401.81         Avg: 337.59 (13.83)      | ent 0.010
Step   20000 (g21.2+d10.2)s       | [D] min: 0.06       max: 0.77      | [R_te] min: 159.91         max: 512.39         Avg: 316.21 (40.54)      | ent 0.008
