Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 1.30       max: 2.63      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000
Step    2000 (g21.1+d10.1)s       | [D] min: 0.12       max: 1.31      | [R_te] min: 155.70         max: 164.00         Avg: 160.36 (0.88)       | ent 0.741
Step    3000 (g21.1+d10.1)s       | [D] min: 0.09       max: 0.49      | [R_te] min: 238.04         max: 276.56         Avg: 262.76 (3.60)       | ent 0.552
Step    4000 (g21.2+d10.2)s       | [D] min: 0.10       max: 0.74      | [R_te] min: 283.18         max: 318.73         Avg: 302.95 (3.39)       | ent 0.416
Step    5000 (g21.2+d10.2)s       | [D] min: 0.09       max: 0.27      | [R_te] min: 118.43         max: 237.83         Avg: 140.14 (12.03)      | ent 0.313
Step    6000 (g21.4+d10.3)s       | [D] min: 0.08       max: 0.24      | [R_te] min: 166.73         max: 281.61         Avg: 226.56 (10.96)      | ent 0.238
Step    7000 (g21.3+d10.2)s       | [D] min: 0.08       max: 0.34      | [R_te] min: 74.46          max: 121.75         Avg: 101.81 (6.86)       | ent 0.183
Step    8000 (g21.3+d10.3)s       | [D] min: 0.07       max: 0.47      | [R_te] min: 73.72          max: 75.12          Avg: 74.45 (0.16)        | ent 0.142
Step    9000 (g21.3+d10.3)s       | [D] min: 0.06       max: 0.19      | [R_te] min: 69.89          max: 76.10          Avg: 72.68 (0.58)        | ent 0.112
Step   10000 (g21.3+d10.3)s       | [D] min: 0.06       max: 0.30      | [R_te] min: 70.37          max: 74.24          Avg: 72.83 (0.37)        | ent 0.089
Step   11000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.15      | [R_te] min: 327.47         max: 422.13         Avg: 386.04 (8.50)       | ent 0.070
Step   12000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.23      | [R_te] min: 226.11         max: 275.08         Avg: 248.04 (6.15)       | ent 0.053
Step   13000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.22      | [R_te] min: 227.90         max: 499.64         Avg: 334.47 (24.16)      | ent 0.042
Step   14000 (g21.5+d10.4)s       | [D] min: 0.06       max: 0.12      | [R_te] min: 253.07         max: 337.33         Avg: 289.09 (7.29)       | ent 0.033
Step   15000 (g21.4+d10.3)s       | [D] min: 0.05       max: 0.24      | [R_te] min: 219.28         max: 300.38         Avg: 267.55 (8.21)       | ent 0.026
Step   16000 (g21.4+d10.3)s       | [D] min: 0.05       max: 0.28      | [R_te] min: 252.55         max: 421.41         Avg: 330.49 (14.57)      | ent 0.022
Step   17000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.21      | [R_te] min: 312.01         max: 408.77         Avg: 379.12 (10.68)      | ent 0.018
Step   18000 (g21.4+d10.3)s       | [D] min: 0.06       max: 0.18      | [R_te] min: 259.91         max: 529.02         Avg: 316.66 (24.91)      | ent 0.015
Step   19000 (g21.4+d10.3)s       | [D] min: 0.05       max: 0.18      | [R_te] min: 287.09         max: 702.59         Avg: 429.11 (34.20)      | ent 0.014
Step   20000 (g21.4+d10.4)s       | [D] min: 0.01       max: 0.11      | [R_te] min: 292.00         max: 561.68         Avg: 412.16 (24.69)      | ent 0.012
Step   21000 (g21.4+d10.4)s       | [D] min: 0.05       max: 0.09      | [R_te] min: 289.78         max: 433.72         Avg: 361.10 (13.29)      | ent 0.011
Step   22000 (g21.4+d10.3)s       | [D] min: 0.07       max: 0.10      | [R_te] min: 337.81         max: 587.49         Avg: 425.22 (22.49)      | ent 0.009
Step   23000 (g21.5+d10.4)s       | [D] min: 0.04       max: 0.15      | [R_te] min: 258.69         max: 485.66         Avg: 346.53 (21.10)      | ent 0.007
Step   24000 (g21.5+d10.4)s       | [D] min: 0.07       max: 0.23      | [R_te] min: 228.49         max: 336.76         Avg: 271.04 (9.05)       | ent 0.006
Step   25000 (g21.4+d10.3)s       | [D] min: 0.07       max: 0.11      | [R_te] min: 287.69         max: 524.97         Avg: 382.39 (22.52)      | ent 0.006
Step   26000 (g21.4+d10.4)s       | [D] min: 0.07       max: 0.23      | [R_te] min: 295.28         max: 503.19         Avg: 352.33 (18.78)      | ent 0.005
Step   27000 (g21.4+d10.4)s       | [D] min: 0.07       max: 0.42      | [R_te] min: 352.82         max: 508.78         Avg: 406.47 (16.26)      | ent 0.004
Step   28000 (g21.4+d10.4)s       | [D] min: 0.08       max: 0.12      | [R_te] min: 270.89         max: 500.29         Avg: 388.05 (22.34)      | ent 0.003
Step   29000 (g21.5+d10.4)s       | [D] min: 0.08       max: 0.50      | [R_te] min: 200.98         max: 438.09         Avg: 279.66 (21.42)      | ent 0.003
Step   30000 (g21.4+d10.4)s       | [D] min: 0.07       max: 0.77      | [R_te] min: 169.72         max: 193.64         Avg: 182.79 (2.07)       | ent 0.002
Step   31000 (g21.4+d10.4)s       | [D] min: 0.06       max: 0.11      | [R_te] min: 71.08          max: 71.46          Avg: 71.29 (0.04)        | ent 0.001
Step   32000 (g21.4+d10.4)s       | [D] min: 0.08       max: 0.16      | [R_te] min: 59.95          max: 66.05          Avg: 64.60 (0.59)        | ent 0.001
Step   33000 (g21.4+d10.4)s       | [D] min: 0.09       max: 0.15      | [R_te] min: 169.05         max: 292.18         Avg: 220.04 (14.63)      | ent 0.001
Step   34000 (g21.5+d10.4)s       | [D] min: 0.10       max: 0.16      | [R_te] min: 105.78         max: 151.02         Avg: 126.74 (4.60)       | ent 0.000
Step   35000 (g21.5+d10.4)s       | [D] min: 0.11       max: 0.19      | [R_te] min: 106.63         max: 127.35         Avg: 117.93 (1.89)       | ent 0.000
Step   36000 (g21.4+d10.4)s       | [D] min: 0.12       max: 0.17      | [R_te] min: 132.45         max: 270.60         Avg: 158.86 (12.36)      | ent 0.000
Step   37000 (g21.4+d10.4)s       | [D] min: 0.12       max: 0.37      | [R_te] min: 159.61         max: 205.42         Avg: 177.06 (4.44)       | ent 0.000
Step   38000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.24      | [R_te] min: 168.04         max: 287.90         Avg: 211.38 (11.67)      | ent 0.000
Step   39000 (g21.4+d10.4)s       | [D] min: 0.16       max: 0.26      | [R_te] min: 237.34         max: 267.59         Avg: 252.99 (3.40)       | ent 0.000
Step   40000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.21      | [R_te] min: 219.67         max: 236.99         Avg: 228.97 (1.67)       | ent 0.000
Step   41000 (g21.5+d10.4)s       | [D] min: 0.18       max: 0.29      | [R_te] min: 233.82         max: 270.24         Avg: 250.09 (3.54)       | ent 0.000
Step   42000 (g21.4+d10.4)s       | [D] min: 0.19       max: 0.41      | [R_te] min: 231.90         max: 279.70         Avg: 256.83 (4.48)       | ent 0.000
Step   43000 (g21.5+d10.4)s       | [D] min: 0.19       max: 0.28      | [R_te] min: 191.85         max: 258.89         Avg: 222.16 (7.04)       | ent 0.000
Step   44000 (g21.5+d10.4)s       | [D] min: 0.17       max: 0.23      | [R_te] min: 271.90         max: 293.72         Avg: 281.00 (2.14)       | ent 0.000
Step   45000 (g21.5+d10.4)s       | [D] min: 0.16       max: 0.21      | [R_te] min: 215.77         max: 327.21         Avg: 289.85 (9.33)       | ent 0.000
Step   46000 (g21.5+d10.4)s       | [D] min: 0.17       max: 0.20      | [R_te] min: 310.27         max: 527.37         Avg: 441.03 (21.53)      | ent 0.000
Step   47000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.21      | [R_te] min: 315.83         max: 534.04         Avg: 370.93 (20.79)      | ent 0.000
Step   48000 (g21.4+d10.4)s       | [D] min: 0.14       max: 0.34      | [R_te] min: 238.30         max: 274.83         Avg: 251.46 (3.73)       | ent 0.000
Step   49000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.18      | [R_te] min: 230.28         max: 358.20         Avg: 311.71 (12.31)      | ent 0.000
Step   50000 (g21.4+d10.4)s       | [D] min: 0.10       max: 0.23      | [R_te] min: 315.07         max: 468.85         Avg: 390.78 (14.91)      | ent 0.000
Step   51000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.28      | [R_te] min: 267.49         max: 600.77         Avg: 421.54 (28.65)      | ent 0.000
Step   52000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.27      | [R_te] min: 329.15         max: 576.90         Avg: 410.78 (24.37)      | ent 0.000
Step   53000 (g21.4+d10.4)s       | [D] min: 0.11       max: 0.22      | [R_te] min: 321.25         max: 516.76         Avg: 389.19 (18.55)      | ent 0.000
Step   54000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.24      | [R_te] min: 362.63         max: 728.31         Avg: 467.34 (33.04)      | ent 0.000
Step   55000 (g21.4+d10.4)s       | [D] min: 0.15       max: 0.22      | [R_te] min: 348.99         max: 639.90         Avg: 494.57 (31.20)      | ent 0.000
Step   56000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.27      | [R_te] min: 267.74         max: 629.09         Avg: 471.11 (30.98)      | ent 0.000
Step   57000 (g21.5+d10.4)s       | [D] min: 0.12       max: 0.16      | [R_te] min: 281.37         max: 473.35         Avg: 346.55 (18.88)      | ent 0.000
Step   58000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.25      | [R_te] min: 237.47         max: 478.63         Avg: 335.15 (25.04)      | ent 0.000
Step   59000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.24      | [R_te] min: 277.06         max: 420.41         Avg: 323.57 (15.01)      | ent 0.000
Step   60000 (g21.4+d10.4)s       | [D] min: 0.13       max: 0.26      | [R_te] min: 256.81         max: 444.53         Avg: 337.60 (20.33)      | ent 0.000
Step   61000 (g21.5+d10.4)s       | [D] min: 0.08       max: 0.21      | [R_te] min: 224.21         max: 530.72         Avg: 355.31 (35.47)      | ent 0.000
Step   62000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.19      | [R_te] min: 310.08         max: 434.78         Avg: 360.29 (11.51)      | ent 0.000
Step   63000 (g21.4+d10.4)s       | [D] min: 0.15       max: 0.17      | [R_te] min: 345.05         max: 590.61         Avg: 433.57 (23.68)      | ent 0.000
Step   64000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.27      | [R_te] min: 302.20         max: 592.78         Avg: 434.12 (31.07)      | ent 0.000
Step   65000 (g21.4+d10.4)s       | [D] min: 0.13       max: 0.22      | [R_te] min: 306.13         max: 588.46         Avg: 382.44 (25.94)      | ent 0.000
Step   66000 (g21.5+d10.5)s       | [D] min: 0.15       max: 0.18      | [R_te] min: 334.36         max: 553.32         Avg: 412.04 (18.67)      | ent 0.000
Step   67000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.19      | [R_te] min: 319.45         max: 452.79         Avg: 374.07 (13.59)      | ent 0.000
Step   68000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.18      | [R_te] min: 332.14         max: 588.39         Avg: 448.06 (27.45)      | ent 0.000
Step   69000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.20      | [R_te] min: 404.08         max: 575.59         Avg: 481.92 (16.96)      | ent 0.000
Step   70000 (g21.5+d10.4)s       | [D] min: 0.07       max: 0.27      | [R_te] min: 383.48         max: 783.49         Avg: 512.23 (44.73)      | ent 0.000
Step   71000 (g21.5+d10.4)s       | [D] min: 0.15       max: 0.18      | [R_te] min: 303.14         max: 532.01         Avg: 407.44 (22.26)      | ent 0.000
Step   72000 (g21.5+d10.5)s       | [D] min: 0.14       max: 0.17      | [R_te] min: 283.06         max: 408.46         Avg: 375.60 (11.03)      | ent 0.000
Step   73000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.20      | [R_te] min: 295.17         max: 694.16         Avg: 456.26 (34.69)      | ent 0.000
Step   74000 (g21.7+d10.7)s       | [D] min: 0.15       max: 0.20      | [R_te] min: 305.31         max: 851.14         Avg: 510.26 (49.76)      | ent 0.000
Step   75000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.18      | [R_te] min: 288.70         max: 883.72         Avg: 477.12 (55.97)      | ent 0.000
Step   76000 (g21.5+d10.5)s       | [D] min: 0.12       max: 0.18      | [R_te] min: 366.30         max: 598.30         Avg: 473.99 (22.36)      | ent 0.000
Step   77000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.20      | [R_te] min: 364.50         max: 776.46         Avg: 551.67 (43.72)      | ent 0.000
Step   78000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.18      | [R_te] min: 359.80         max: 802.88         Avg: 488.42 (41.34)      | ent 0.000
Step   79000 (g21.6+d10.4)s       | [D] min: 0.13       max: 0.15      | [R_te] min: 398.78         max: 693.38         Avg: 515.30 (29.93)      | ent 0.000
Step   80000 (g21.6+d10.5)s       | [D] min: 0.14       max: 0.16      | [R_te] min: 382.42         max: 660.18         Avg: 514.21 (25.75)      | ent 0.000
Step   81000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.16      | [R_te] min: 413.41         max: 1047.01        Avg: 554.99 (53.30)      | ent 0.000
Step   82000 (g21.6+d10.5)s       | [D] min: 0.12       max: 0.23      | [R_te] min: 385.68         max: 857.45         Avg: 511.68 (42.82)      | ent 0.000
Step   83000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.16      | [R_te] min: 343.07         max: 813.05         Avg: 548.26 (38.87)      | ent 0.000
Step   84000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.16      | [R_te] min: 388.82         max: 743.48         Avg: 508.19 (31.62)      | ent 0.000
Step   85000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.15      | [R_te] min: 329.26         max: 868.08         Avg: 530.53 (49.02)      | ent 0.000
Step   86000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.19      | [R_te] min: 293.01         max: 443.68         Avg: 371.24 (15.76)      | ent 0.000
Step   87000 (g21.5+d10.4)s       | [D] min: 0.12       max: 0.14      | [R_te] min: 465.48         max: 793.15         Avg: 614.77 (34.20)      | ent 0.000
Step   88000 (g21.6+d10.5)s       | [D] min: 0.12       max: 0.16      | [R_te] min: 369.09         max: 670.97         Avg: 535.83 (25.31)      | ent 0.000
Step   89000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.16      | [R_te] min: 377.73         max: 791.45         Avg: 548.01 (41.55)      | ent 0.000
Step   90000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.14      | [R_te] min: 401.31         max: 708.83         Avg: 589.10 (32.78)      | ent 0.000
Step   91000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.15      | [R_te] min: 428.65         max: 683.17         Avg: 534.19 (22.63)      | ent 0.000
Step   92000 (g21.6+d10.5)s       | [D] min: 0.14       max: 0.17      | [R_te] min: 377.30         max: 765.19         Avg: 551.11 (42.78)      | ent 0.000
Step   93000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.16      | [R_te] min: 392.10         max: 815.24         Avg: 486.19 (37.58)      | ent 0.000
Step   94000 (g21.6+d10.5)s       | [D] min: 0.15       max: 0.18      | [R_te] min: 355.05         max: 763.96         Avg: 475.50 (37.83)      | ent 0.000
Step   95000 (g21.6+d10.6)s       | [D] min: 0.16       max: 0.19      | [R_te] min: 374.09         max: 577.06         Avg: 515.72 (23.54)      | ent 0.000
Step   96000 (g21.5+d10.4)s       | [D] min: 0.17       max: 0.20      | [R_te] min: 374.00         max: 635.13         Avg: 499.77 (27.31)      | ent 0.000
Step   97000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.18      | [R_te] min: 341.88         max: 962.17         Avg: 516.59 (68.10)      | ent 0.000
Step   98000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.19      | [R_te] min: 336.88         max: 481.27         Avg: 403.09 (18.02)      | ent 0.000
Step   99000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.19      | [R_te] min: 426.33         max: 1041.09        Avg: 676.69 (60.66)      | ent 0.000
Step  100000 (g21.6+d10.5)s       | [D] min: 0.15       max: 0.19      | [R_te] min: 386.34         max: 916.98         Avg: 595.91 (49.64)      | ent 0.000
Step  101000 (g21.6+d10.5)s       | [D] min: 0.14       max: 0.20      | [R_te] min: 335.52         max: 1226.52        Avg: 637.92 (78.04)      | ent 0.000
Step  102000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.19      | [R_te] min: 386.05         max: 835.24         Avg: 537.30 (42.81)      | ent 0.000
Step  103000 (g21.7+d10.6)s       | [D] min: 0.14       max: 0.23      | [R_te] min: 242.27         max: 782.12         Avg: 512.86 (57.50)      | ent 0.000
Step  104000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.17      | [R_te] min: 393.94         max: 768.46         Avg: 532.78 (39.01)      | ent 0.000
Step  105000 (g21.5+d10.4)s       | [D] min: 0.14       max: 0.18      | [R_te] min: 360.73         max: 575.84         Avg: 454.06 (21.17)      | ent 0.000
Step  106000 (g21.6+d10.5)s       | [D] min: 0.13       max: 0.16      | [R_te] min: 400.29         max: 832.77         Avg: 608.00 (41.92)      | ent 0.000
Step  107000 (g21.6+d10.5)s       | [D] min: 0.11       max: 0.16      | [R_te] min: 280.40         max: 473.74         Avg: 387.83 (19.84)      | ent 0.000
Step  108000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.17      | [R_te] min: 327.30         max: 708.59         Avg: 445.97 (33.06)      | ent 0.000
Step  109000 (g21.5+d10.5)s       | [D] min: 0.13       max: 0.15      | [R_te] min: 261.26         max: 904.01         Avg: 556.74 (66.20)      | ent 0.000
Step  110000 (g21.6+d10.5)s       | [D] min: 0.12       max: 0.16      | [R_te] min: 235.66         max: 839.22         Avg: 376.34 (64.43)      | ent 0.000
Step  111000 (g21.5+d10.4)s       | [D] min: 0.09       max: 0.17      | [R_te] min: 242.91         max: 354.05         Avg: 281.90 (9.76)       | ent 0.000
Step  112000 (g21.5+d10.5)s       | [D] min: 0.12       max: 0.15      | [R_te] min: 273.03         max: 618.04         Avg: 416.81 (39.71)      | ent 0.000
Step  113000 (g21.5+d10.5)s       | [D] min: 0.12       max: 0.14      | [R_te] min: 315.66         max: 706.38         Avg: 465.40 (38.91)      | ent 0.000
Step  114000 (g21.5+d10.4)s       | [D] min: 0.11       max: 0.14      | [R_te] min: 421.85         max: 1029.32        Avg: 634.16 (51.51)      | ent 0.000
Step  115000 (g21.6+d10.5)s       | [D] min: 0.12       max: 0.14      | [R_te] min: 457.48         max: 728.12         Avg: 598.13 (28.10)      | ent 0.000
Step  116000 (g21.5+d10.4)s       | [D] min: 0.13       max: 0.15      | [R_te] min: 281.65         max: 812.17         Avg: 617.51 (51.91)      | ent 0.000
Step  117000 (g21.6+d10.6)s       | [D] min: 0.13       max: 0.15      | [R_te] min: 385.56         max: 866.77         Avg: 543.03 (41.65)      | ent 0.000
Step  118000 (g21.6+d10.5)s       | [D] min: 0.12       max: 0.17      | [R_te] min: 334.11         max: 907.93         Avg: 482.59 (55.18)      | ent 0.000
