Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 1.63       max: 3.38      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000
Step    2000 (g20.6+d9.9)s        | [D] min: 0.13       max: 1.09      | [R_te] min: 172.52         max: 197.56         Avg: 187.42 (2.45)       | ent 0.741
Step    3000 (g20.9+d10.0)s       | [D] min: 0.12       max: 0.91      | [R_te] min: 278.69         max: 304.59         Avg: 292.34 (2.42)       | ent 0.553
Step    4000 (g20.7+d9.9)s        | [D] min: 0.09       max: 0.31      | [R_te] min: 271.33         max: 300.60         Avg: 284.49 (3.25)       | ent 0.416
Step    5000 (g20.7+d9.9)s        | [D] min: 0.08       max: 0.25      | [R_te] min: 238.76         max: 380.01         Avg: 352.23 (12.95)      | ent 0.313
Step    6000 (g20.7+d9.9)s        | [D] min: 0.08       max: 0.23      | [R_te] min: 73.50          max: 78.76          Avg: 74.99 (0.63)        | ent 0.237
Step    7000 (g20.7+d10.0)s       | [D] min: 0.07       max: 0.23      | [R_te] min: 71.30          max: 78.13          Avg: 74.00 (0.68)        | ent 0.182
Step    8000 (g20.8+d10.0)s       | [D] min: 0.06       max: 0.23      | [R_te] min: 72.92          max: 73.17          Avg: 73.05 (0.02)        | ent 0.140
Step    9000 (g20.8+d10.0)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 67.86          max: 73.10          Avg: 69.47 (0.71)        | ent 0.110
Step   10000 (g20.8+d10.0)s       | [D] min: 0.06       max: 0.27      | [R_te] min: 72.74          max: 75.73          Avg: 74.16 (0.33)        | ent 0.087
Step   11000 (g20.8+d10.0)s       | [D] min: 0.00       max: 0.23      | [R_te] min: 205.02         max: 281.43         Avg: 229.12 (6.44)       | ent 0.067
Step   12000 (g20.8+d10.0)s       | [D] min: 0.06       max: 0.29      | [R_te] min: 221.61         max: 265.75         Avg: 241.01 (4.10)       | ent 0.052
Step   13000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.14      | [R_te] min: 272.17         max: 399.04         Avg: 307.68 (11.40)      | ent 0.040
Step   14000 (g20.9+d10.0)s       | [D] min: 0.06       max: 0.15      | [R_te] min: 207.11         max: 337.54         Avg: 283.36 (12.07)      | ent 0.032
Step   15000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.12      | [R_te] min: 204.32         max: 636.32         Avg: 393.75 (37.40)      | ent 0.026
Step   16000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.19      | [R_te] min: 280.84         max: 379.11         Avg: 320.37 (8.46)       | ent 0.022
Step   17000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.12      | [R_te] min: 292.82         max: 623.86         Avg: 398.55 (31.50)      | ent 0.018
Step   18000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.21      | [R_te] min: 330.68         max: 670.26         Avg: 434.49 (35.44)      | ent 0.016
Step   19000 (g20.9+d10.1)s       | [D] min: 0.05       max: 0.14      | [R_te] min: 295.06         max: 421.60         Avg: 355.86 (10.11)      | ent 0.013
Step   20000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.16      | [R_te] min: 309.63         max: 457.79         Avg: 384.26 (13.43)      | ent 0.010
Step   21000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.50      | [R_te] min: 328.80         max: 656.24         Avg: 462.19 (31.89)      | ent 0.009
Step   22000 (g20.9+d10.1)s       | [D] min: 0.05       max: 0.29      | [R_te] min: 181.11         max: 261.06         Avg: 219.34 (8.37)       | ent 0.007
Step   23000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.17      | [R_te] min: 267.79         max: 421.14         Avg: 336.95 (14.73)      | ent 0.005
Step   24000 (g20.9+d10.1)s       | [D] min: 0.05       max: 0.11      | [R_te] min: 242.18         max: 856.91         Avg: 379.00 (54.42)      | ent 0.004
Step   25000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.11      | [R_te] min: 287.13         max: 502.20         Avg: 356.88 (23.53)      | ent 0.003
Step   26000 (g20.9+d10.1)s       | [D] min: 0.07       max: 0.30      | [R_te] min: 269.96         max: 444.77         Avg: 346.65 (16.08)      | ent 0.003
Step   27000 (g20.9+d10.1)s       | [D] min: 0.07       max: 0.11      | [R_te] min: 319.65         max: 412.78         Avg: 365.09 (9.58)       | ent 0.002
Step   28000 (g20.9+d10.1)s       | [D] min: 0.06       max: 0.11      | [R_te] min: 197.10         max: 494.77         Avg: 310.87 (30.76)      | ent 0.002
Step   29000 (g20.9+d10.1)s       | [D] min: 0.07       max: 0.10      | [R_te] min: 216.80         max: 467.51         Avg: 336.71 (30.00)      | ent 0.001
Step   30000 (g20.9+d10.1)s       | [D] min: 0.08       max: 0.13      | [R_te] min: 156.58         max: 440.43         Avg: 283.16 (24.82)      | ent 0.001
Step   31000 (g20.9+d10.1)s       | [D] min: 0.08       max: 0.16      | [R_te] min: 153.88         max: 540.59         Avg: 271.60 (35.70)      | ent 0.001
Step   32000 (g20.9+d10.1)s       | [D] min: 0.08       max: 0.17      | [R_te] min: 135.06         max: 360.60         Avg: 232.54 (25.13)      | ent 0.001
Step   33000 (g21.0+d10.1)s       | [D] min: 0.10       max: 0.14      | [R_te] min: 145.87         max: 257.18         Avg: 211.53 (12.33)      | ent 0.000
Step   34000 (g20.9+d10.1)s       | [D] min: 0.11       max: 0.15      | [R_te] min: 115.11         max: 139.93         Avg: 125.78 (2.33)       | ent 0.000
Step   35000 (g20.9+d10.1)s       | [D] min: 0.12       max: 0.15      | [R_te] min: 149.66         max: 173.08         Avg: 158.19 (2.31)       | ent 0.000
Step   36000 (g20.9+d10.1)s       | [D] min: 0.13       max: 0.16      | [R_te] min: 150.83         max: 247.10         Avg: 209.52 (10.90)      | ent 0.000
Step   37000 (g20.9+d10.1)s       | [D] min: 0.08       max: 0.17      | [R_te] min: 310.73         max: 490.58         Avg: 367.08 (18.28)      | ent 0.000
Step   38000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.18      | [R_te] min: 224.98         max: 296.70         Avg: 267.54 (6.44)       | ent 0.000
Step   39000 (g21.0+d10.1)s       | [D] min: 0.14       max: 0.24      | [R_te] min: 205.63         max: 304.19         Avg: 271.87 (8.37)       | ent 0.000
Step   40000 (g21.0+d10.2)s       | [D] min: 0.14       max: 0.33      | [R_te] min: 329.15         max: 702.28         Avg: 481.67 (35.54)      | ent 0.000
Step   41000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.19      | [R_te] min: 333.48         max: 466.32         Avg: 385.32 (12.35)      | ent 0.000
Step   42000 (g21.0+d10.2)s       | [D] min: 0.14       max: 0.30      | [R_te] min: 318.38         max: 386.74         Avg: 352.21 (6.20)       | ent 0.000
Step   43000 (g21.0+d10.2)s       | [D] min: 0.15       max: 0.19      | [R_te] min: 284.74         max: 435.17         Avg: 337.14 (13.66)      | ent 0.000
Step   44000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.20      | [R_te] min: 317.79         max: 415.35         Avg: 360.35 (8.69)       | ent 0.000
Step   45000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.18      | [R_te] min: 318.84         max: 385.18         Avg: 363.14 (6.69)       | ent 0.000
Step   46000 (g20.9+d10.1)s       | [D] min: 0.15       max: 0.19      | [R_te] min: 296.67         max: 995.06         Avg: 416.28 (62.10)      | ent 0.000
Step   47000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.20      | [R_te] min: 271.63         max: 373.10         Avg: 325.13 (12.42)      | ent 0.000
Step   48000 (g21.0+d10.2)s       | [D] min: 0.15       max: 0.22      | [R_te] min: 289.64         max: 570.40         Avg: 364.63 (25.26)      | ent 0.000
Step   49000 (g20.9+d10.1)s       | [D] min: 0.16       max: 0.25      | [R_te] min: 195.90         max: 365.51         Avg: 301.60 (18.42)      | ent 0.000
Step   50000 (g20.9+d10.2)s       | [D] min: 0.16       max: 0.23      | [R_te] min: 245.09         max: 355.64         Avg: 306.42 (10.97)      | ent 0.000
Step   51000 (g21.0+d10.2)s       | [D] min: 0.15       max: 0.27      | [R_te] min: 329.20         max: 711.70         Avg: 416.06 (32.75)      | ent 0.000
Step   52000 (g20.9+d10.1)s       | [D] min: 0.15       max: 0.21      | [R_te] min: 341.32         max: 539.84         Avg: 418.49 (18.46)      | ent 0.000
Step   53000 (g20.9+d10.2)s       | [D] min: 0.16       max: 0.25      | [R_te] min: 324.04         max: 580.43         Avg: 404.43 (25.53)      | ent 0.000
Step   54000 (g20.9+d10.1)s       | [D] min: 0.15       max: 0.21      | [R_te] min: 285.57         max: 635.33         Avg: 408.09 (27.43)      | ent 0.000
Step   55000 (g20.9+d10.2)s       | [D] min: 0.16       max: 0.20      | [R_te] min: 250.54         max: 441.51         Avg: 322.14 (15.54)      | ent 0.000
Step   56000 (g20.9+d10.1)s       | [D] min: 0.12       max: 0.20      | [R_te] min: 247.24         max: 522.25         Avg: 384.23 (23.82)      | ent 0.000
Step   57000 (g21.0+d10.1)s       | [D] min: 0.14       max: 0.22      | [R_te] min: 245.48         max: 303.29         Avg: 272.10 (6.35)       | ent 0.000
Step   58000 (g20.9+d10.2)s       | [D] min: 0.13       max: 0.19      | [R_te] min: 284.50         max: 411.39         Avg: 349.99 (13.08)      | ent 0.000
Step   59000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.20      | [R_te] min: 285.63         max: 433.18         Avg: 349.98 (15.23)      | ent 0.000
Step   60000 (g21.0+d10.2)s       | [D] min: 0.13       max: 0.19      | [R_te] min: 235.00         max: 528.27         Avg: 311.48 (25.86)      | ent 0.000
Step   61000 (g21.0+d10.1)s       | [D] min: 0.15       max: 0.21      | [R_te] min: 297.91         max: 422.82         Avg: 351.45 (11.66)      | ent 0.000
Step   62000 (g21.0+d10.2)s       | [D] min: 0.14       max: 0.22      | [R_te] min: 333.93         max: 771.16         Avg: 510.53 (40.29)      | ent 0.000
Step   63000 (g21.0+d10.2)s       | [D] min: 0.14       max: 0.18      | [R_te] min: 306.45         max: 557.01         Avg: 418.03 (24.29)      | ent 0.000
Step   64000 (g20.9+d10.1)s       | [D] min: 0.14       max: 0.23      | [R_te] min: 347.66         max: 603.29         Avg: 451.08 (28.25)      | ent 0.000
Step   65000 (g20.9+d10.2)s       | [D] min: 0.12       max: 0.16      | [R_te] min: 341.64         max: 520.17         Avg: 428.06 (15.30)      | ent 0.000
Step   66000 (g20.9+d10.1)s       | [D] min: 0.13       max: 0.19      | [R_te] min: 376.94         max: 560.09         Avg: 453.20 (17.25)      | ent 0.000
Step   67000 (g21.0+d10.2)s       | [D] min: 0.15       max: 0.18      | [R_te] min: 248.67         max: 321.17         Avg: 285.61 (8.33)       | ent 0.000
Step   68000 (g21.0+d10.2)s       | [D] min: 0.13       max: 0.19      | [R_te] min: 287.12         max: 595.68         Avg: 370.31 (33.33)      | ent 0.000
Step   69000 (g20.9+d10.1)s       | [D] min: 0.13       max: 0.18      | [R_te] min: 371.73         max: 502.49         Avg: 438.24 (11.62)      | ent 0.000
Step   70000 (g21.0+d10.2)s       | [D] min: 0.14       max: 0.23      | [R_te] min: 404.63         max: 726.08         Avg: 521.57 (29.38)      | ent 0.000
Step   71000 (g21.0+d10.2)s       | [D] min: 0.13       max: 0.21      | [R_te] min: 385.82         max: 538.26         Avg: 434.58 (15.71)      | ent 0.000
Step   72000 (g21.0+d10.2)s       | [D] min: 0.13       max: 0.17      | [R_te] min: 316.19         max: 590.92         Avg: 457.06 (28.00)      | ent 0.000
Step   73000 (g21.0+d10.2)s       | [D] min: 0.15       max: 0.19      | [R_te] min: 350.02         max: 637.61         Avg: 508.44 (30.00)      | ent 0.000
Step   74000 (g20.9+d10.2)s       | [D] min: 0.12       max: 0.16      | [R_te] min: 400.02         max: 695.80         Avg: 508.56 (28.56)      | ent 0.000
