Step       0 (bc0.0)s   | [R_te] min: 19.96           max: 20.77          Avg: 20.28 (0.07)        | [MSE_tr]  0.5009   
Step    1000 (bc5.5)s   | [R_te] min: 408.24          max: 1100.54        Avg: 755.82 (75.98)      | [MSE_tr]  0.2235   
Step    2000 (bc5.5)s   | [R_te] min: 492.17          max: 2633.32        Avg: 717.12 (202.00)     | [MSE_tr]  0.2166   
Step    3000 (bc5.5)s   | [R_te] min: 457.86          max: 4114.42        Avg: 1618.46 (483.36)    | [MSE_tr]  0.2145   
Step    4000 (bc5.4)s   | [R_te] min: 1856.70         max: 4224.73        Avg: 3645.61 (255.05)    | [MSE_tr]  0.2137   
Step    5000 (bc5.2)s   | [R_te] min: 482.32          max: 4434.72        Avg: 2445.57 (537.04)    | [MSE_tr]  0.2130   
Step    6000 (bc5.1)s   | [R_te] min: 451.95          max: 3831.65        Avg: 1732.18 (455.69)    | [MSE_tr]  0.2122   
Step    7000 (bc5.1)s   | [R_te] min: 469.91          max: 4558.13        Avg: 3954.54 (370.88)    | [MSE_tr]  0.2118   
Step    8000 (bc5.1)s   | [R_te] min: 463.63          max: 4400.15        Avg: 3120.90 (547.93)    | [MSE_tr]  0.2116   
Step    9000 (bc5.0)s   | [R_te] min: 3972.99         max: 4422.88        Avg: 4211.27 (39.83)     | [MSE_tr]  0.2114   
Step   10000 (bc5.1)s   | [R_te] min: 4308.12         max: 4591.15        Avg: 4475.27 (30.36)     | [MSE_tr]  0.2115   
Step   11000 (bc5.0)s   | [R_te] min: 445.28          max: 3895.92        Avg: 1432.76 (390.41)    | [MSE_tr]  0.2118   
Step   12000 (bc5.1)s   | [R_te] min: 418.50          max: 4505.62        Avg: 1680.20 (577.93)    | [MSE_tr]  0.2116   
Step   13000 (bc5.1)s   | [R_te] min: 342.41          max: 4176.16        Avg: 819.42 (355.43)     | [MSE_tr]  0.2114   
Step   14000 (bc5.1)s   | [R_te] min: 4228.92         max: 4526.42        Avg: 4383.59 (27.65)     | [MSE_tr]  0.2115   
Step   15000 (bc5.2)s   | [R_te] min: 452.69          max: 4448.45        Avg: 2834.47 (588.30)    | [MSE_tr]  0.2117   
Step   16000 (bc5.1)s   | [R_te] min: 307.43          max: 4475.42        Avg: 1299.70 (490.84)    | [MSE_tr]  0.2114   
Step   17000 (bc5.3)s   | [R_te] min: 337.48          max: 4464.68        Avg: 3281.24 (541.01)    | [MSE_tr]  0.2119   
Step   18000 (bc5.2)s   | [R_te] min: 441.07          max: 4222.68        Avg: 2829.55 (469.89)    | [MSE_tr]  0.2116   
Step   19000 (bc5.2)s   | [R_te] min: 460.46          max: 4490.76        Avg: 4020.48 (376.01)    | [MSE_tr]  0.2117   
Step   20000 (bc5.2)s   | [R_te] min: 353.15          max: 4408.59        Avg: 1752.74 (540.03)    | [MSE_tr]  0.2117   
Step   21000 (bc5.2)s   | [R_te] min: 308.86          max: 4554.29        Avg: 3573.94 (506.14)    | [MSE_tr]  0.2119   
Step   22000 (bc5.1)s   | [R_te] min: 449.31          max: 4236.28        Avg: 1981.69 (457.01)    | [MSE_tr]  0.2119   
Step   23000 (bc5.2)s   | [R_te] min: 346.74          max: 4501.88        Avg: 3975.67 (383.68)    | [MSE_tr]  0.2120   
Step   24000 (bc5.2)s   | [R_te] min: 321.38          max: 4478.91        Avg: 4012.89 (389.23)    | [MSE_tr]  0.2120   
Step   25000 (bc5.1)s   | [R_te] min: 459.73          max: 4407.00        Avg: 3357.86 (449.30)    | [MSE_tr]  0.2119   
Step   26000 (bc5.3)s   | [R_te] min: 364.86          max: 4308.38        Avg: 1901.18 (520.85)    | [MSE_tr]  0.2119   
Step   27000 (bc5.4)s   | [R_te] min: 405.92          max: 4445.63        Avg: 3490.05 (490.38)    | [MSE_tr]  0.2123   
Step   28000 (bc5.3)s   | [R_te] min: 317.06          max: 4505.56        Avg: 2375.90 (617.51)    | [MSE_tr]  0.2122   
Step   29000 (bc5.1)s   | [R_te] min: 354.80          max: 4376.64        Avg: 1580.11 (573.06)    | [MSE_tr]  0.2125   
Step   30000 (bc5.2)s   | [R_te] min: 430.27          max: 4553.17        Avg: 3994.67 (378.45)    | [MSE_tr]  0.2122   
Step   31000 (bc5.3)s   | [R_te] min: 381.97          max: 4343.27        Avg: 2103.81 (556.61)    | [MSE_tr]  0.2123   
Step   32000 (bc5.4)s   | [R_te] min: 319.39          max: 4598.37        Avg: 3713.41 (485.58)    | [MSE_tr]  0.2125   
Step   33000 (bc5.3)s   | [R_te] min: 335.06          max: 4525.65        Avg: 3537.43 (504.02)    | [MSE_tr]  0.2124   
Step   34000 (bc5.4)s   | [R_te] min: 383.01          max: 4296.41        Avg: 872.79 (364.77)     | [MSE_tr]  0.2128   
Step   35000 (bc5.3)s   | [R_te] min: 364.21          max: 4538.47        Avg: 2513.63 (605.02)    | [MSE_tr]  0.2126   
Step   36000 (bc5.3)s   | [R_te] min: 4273.79         max: 4487.59        Avg: 4403.53 (21.61)     | [MSE_tr]  0.2125   
Step   37000 (bc5.4)s   | [R_te] min: 427.47          max: 4527.47        Avg: 2468.96 (519.55)    | [MSE_tr]  0.2128   
Step   38000 (bc5.4)s   | [R_te] min: 475.54          max: 4481.38        Avg: 3999.23 (372.00)    | [MSE_tr]  0.2129   
Step   39000 (bc5.3)s   | [R_te] min: 370.60          max: 4599.04        Avg: 3227.38 (583.43)    | [MSE_tr]  0.2128   
