Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 206.99         max: 243.28         Avg: 222.12 (4.26)       | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 0.45       max: 1.30      | [R_te] min: 206.82         max: 249.86         Avg: 225.32 (4.30)       | ent 1.000
Step    2000 (g21.6+d8.0)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 290.78         max: 351.18         Avg: 318.63 (6.25)       | ent 0.741
Step    3000 (g21.8+d7.9)s        | [D] min: 0.00       max: 0.58      | [R_te] min: 250.24         max: 284.35         Avg: 266.80 (3.91)       | ent 0.551
Step    4000 (g21.6+d7.9)s        | [D] min: 0.00       max: 1.31      | [R_te] min: 278.45         max: 332.44         Avg: 301.48 (4.52)       | ent 0.413
Step    5000 (g21.7+d7.9)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 260.47         max: 298.26         Avg: 274.73 (3.44)       | ent 0.311
Step    6000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 239.31         max: 273.69         Avg: 255.61 (3.72)       | ent 0.236
Step    7000 (g21.1+d7.8)s        | [D] min: 0.00       max: 0.09      | [R_te] min: 68.98          max: 75.26          Avg: 73.24 (0.51)        | ent 0.181
Step    8000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 72.86          max: 77.95          Avg: 74.41 (0.71)        | ent 0.141
Step    9000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.27      | [R_te] min: 72.81          max: 77.93          Avg: 77.29 (0.47)        | ent 0.109
Step   10000 (g21.1+d7.7)s        | [D] min: 0.00       max: 0.09      | [R_te] min: 72.64          max: 72.99          Avg: 72.80 (0.04)        | ent 0.086
Step   11000 (g21.1+d7.7)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 186.88         max: 520.89         Avg: 389.88 (31.91)      | ent 0.066
Step   12000 (g21.4+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 157.00         max: 407.84         Avg: 287.53 (27.43)      | ent 0.051
Step   13000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.14      | [R_te] min: 230.43         max: 416.12         Avg: 328.65 (19.44)      | ent 0.039
Step   14000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 185.18         max: 239.26         Avg: 212.26 (5.30)       | ent 0.031
Step   15000 (g21.4+d7.8)s        | [D] min: 0.00       max: 0.40      | [R_te] min: 207.09         max: 315.31         Avg: 259.37 (9.33)       | ent 0.026
Step   16000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.37      | [R_te] min: 222.63         max: 298.24         Avg: 270.34 (5.83)       | ent 0.022
Step   17000 (g21.4+d8.0)s        | [D] min: 0.00       max: 0.17      | [R_te] min: 244.37         max: 298.03         Avg: 260.56 (5.54)       | ent 0.019
Step   18000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.22      | [R_te] min: 216.54         max: 253.30         Avg: 231.89 (3.91)       | ent 0.017
Step   19000 (g21.2+d7.8)s        | [D] min: 0.00       max: 1.28      | [R_te] min: 300.47         max: 538.25         Avg: 378.62 (21.04)      | ent 0.015
Step   20000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.13      | [R_te] min: 310.76         max: 405.92         Avg: 345.72 (8.99)       | ent 0.012
Step   21000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 236.02         max: 297.30         Avg: 271.00 (5.74)       | ent 0.010
Step   22000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.46      | [R_te] min: 265.10         max: 366.55         Avg: 307.91 (8.63)       | ent 0.008
Step   23000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 278.41         max: 459.41         Avg: 367.28 (16.46)      | ent 0.007
Step   24000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.17      | [R_te] min: 231.79         max: 350.38         Avg: 284.36 (9.81)       | ent 0.006
Step   25000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.14      | [R_te] min: 229.57         max: 428.51         Avg: 331.38 (18.43)      | ent 0.005
Step   26000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 335.97         max: 480.04         Avg: 371.07 (12.53)      | ent 0.004
Step   27000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.09      | [R_te] min: 314.39         max: 629.73         Avg: 444.22 (33.08)      | ent 0.004
Step   28000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 264.76         max: 438.59         Avg: 331.89 (20.65)      | ent 0.003
Step   29000 (g21.7+d8.0)s        | [D] min: 0.00       max: 0.17      | [R_te] min: 296.34         max: 476.26         Avg: 387.35 (19.45)      | ent 0.003
Step   30000 (g22.2+d8.2)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 232.27         max: 597.09         Avg: 388.66 (35.41)      | ent 0.002
Step   31000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.22      | [R_te] min: 213.85         max: 514.64         Avg: 409.68 (29.35)      | ent 0.002
Step   32000 (g21.9+d8.1)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 74.20          max: 79.25          Avg: 76.74 (0.72)        | ent 0.001
Step   33000 (g21.9+d8.1)s        | [D] min: 0.00       max: 0.09      | [R_te] min: 67.81          max: 73.44          Avg: 71.49 (0.51)        | ent 0.001
Step   34000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.08      | [R_te] min: 63.95          max: 71.32          Avg: 66.47 (0.59)        | ent 0.001
Step   35000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 101.47         max: 121.94         Avg: 113.89 (1.93)       | ent 0.000
Step   36000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.38      | [R_te] min: 76.08          max: 82.94          Avg: 78.09 (0.74)        | ent 0.000
Step   37000 (g21.9+d8.1)s        | [D] min: 0.00       max: 0.21      | [R_te] min: 71.78          max: 77.05          Avg: 74.46 (0.78)        | ent 0.000
Step   38000 (g21.9+d8.1)s        | [D] min: 0.00       max: 0.09      | [R_te] min: 69.53          max: 76.93          Avg: 73.19 (0.65)        | ent 0.000
Step   39000 (g21.9+d8.1)s        | [D] min: 0.00       max: 3.68      | [R_te] min: 76.22          max: 82.40          Avg: 77.70 (0.51)        | ent 0.000
Step   40000 (g21.9+d8.1)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 85.47          max: 100.12         Avg: 92.46 (1.31)        | ent 0.000
Step   41000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 62.03          max: 67.75          Avg: 64.23 (0.72)        | ent 0.000
Step   42000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.04      | [R_te] min: 72.49          max: 82.26          Avg: 78.85 (1.12)        | ent 0.000
Step   43000 (g22.0+d8.2)s        | [D] min: 0.00       max: 0.08      | [R_te] min: 88.24          max: 122.67         Avg: 104.43 (3.27)       | ent 0.000
Step   44000 (g22.2+d8.2)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 70.97          max: 71.84          Avg: 71.39 (0.08)        | ent 0.000
Step   45000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.20      | [R_te] min: 65.85          max: 71.99          Avg: 71.08 (0.56)        | ent 0.000
Step   46000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 71.31          max: 72.37          Avg: 71.93 (0.12)        | ent 0.000
Step   47000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.08      | [R_te] min: 66.79          max: 71.47          Avg: 68.38 (0.49)        | ent 0.000
Step   48000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.53      | [R_te] min: 73.94          max: 76.83          Avg: 76.01 (0.27)        | ent 0.000
Step   49000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.18      | [R_te] min: 80.72          max: 99.52          Avg: 89.70 (1.95)        | ent 0.000
Step   50000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 111.71         max: 177.97         Avg: 134.00 (7.43)       | ent 0.000
Step   51000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.23      | [R_te] min: 135.87         max: 174.22         Avg: 151.81 (4.17)       | ent 0.000
Step   52000 (g22.1+d8.2)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 178.08         max: 203.01         Avg: 193.82 (2.25)       | ent 0.000
Step   53000 (g22.0+d8.1)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 235.46         max: 281.47         Avg: 257.90 (5.26)       | ent 0.000
Step   54000 (g21.9+d8.1)s        | [D] min: 0.00       max: 0.25      | [R_te] min: 169.59         max: 224.86         Avg: 207.03 (4.83)       | ent 0.000
