Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 0.49       max: 0.97      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000
Step    2000 (g20.8+d7.6)s        | [D] min: 0.00       max: 1.72      | [R_te] min: 151.53         max: 161.98         Avg: 157.35 (1.16)       | ent 0.741
Step    3000 (g20.8+d7.6)s        | [D] min: 0.00       max: 0.18      | [R_te] min: 233.38         max: 270.93         Avg: 256.77 (3.20)       | ent 0.552
Step    4000 (g20.9+d7.6)s        | [D] min: 0.00       max: 0.38      | [R_te] min: 241.90         max: 291.10         Avg: 258.92 (4.09)       | ent 0.415
Step    5000 (g21.4+d7.8)s        | [D] min: 0.00       max: 0.14      | [R_te] min: 264.01         max: 304.53         Avg: 283.75 (4.63)       | ent 0.313
Step    6000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.14      | [R_te] min: 416.05         max: 539.50         Avg: 468.18 (11.95)      | ent 0.237
Step    7000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 179.64         max: 244.88         Avg: 203.20 (6.00)       | ent 0.182
Step    8000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 72.92          max: 73.43          Avg: 73.16 (0.05)        | ent 0.141
Step    9000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 69.01          max: 101.59         Avg: 82.09 (3.61)        | ent 0.110
Step   10000 (g21.1+d7.7)s        | [D] min: 0.00       max: 0.06      | [R_te] min: 69.80          max: 91.36          Avg: 77.29 (2.19)        | ent 0.087
Step   11000 (g21.1+d7.7)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 249.05         max: 289.64         Avg: 269.29 (4.10)       | ent 0.067
Step   12000 (g21.1+d7.8)s        | [D] min: 0.00       max: 0.08      | [R_te] min: 304.35         max: 558.34         Avg: 428.96 (25.29)      | ent 0.052
Step   13000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 226.99         max: 341.22         Avg: 274.66 (9.20)       | ent 0.040
Step   14000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.42      | [R_te] min: 263.33         max: 453.59         Avg: 379.04 (15.81)      | ent 0.031
Step   15000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 337.95         max: 627.56         Avg: 454.24 (25.98)      | ent 0.025
Step   16000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.18      | [R_te] min: 358.34         max: 444.01         Avg: 404.84 (9.16)       | ent 0.021
Step   17000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 268.35         max: 435.51         Avg: 349.37 (15.05)      | ent 0.018
Step   18000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 304.21         max: 377.50         Avg: 346.48 (7.99)       | ent 0.015
Step   19000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.13      | [R_te] min: 334.58         max: 551.69         Avg: 446.27 (22.04)      | ent 0.013
Step   20000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.24      | [R_te] min: 291.29         max: 769.81         Avg: 451.57 (46.64)      | ent 0.011
Step   21000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 293.67         max: 449.30         Avg: 346.37 (18.54)      | ent 0.009
Step   22000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.32      | [R_te] min: 300.81         max: 618.88         Avg: 392.96 (27.17)      | ent 0.008
Step   23000 (g21.2+d7.8)s        | [D] min: 0.00       max: 1.86      | [R_te] min: 282.99         max: 424.37         Avg: 357.80 (14.24)      | ent 0.006
Step   24000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.28      | [R_te] min: 298.43         max: 427.99         Avg: 339.66 (15.20)      | ent 0.005
Step   25000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 323.87         max: 656.64         Avg: 436.10 (33.68)      | ent 0.004
Step   26000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 341.11         max: 544.86         Avg: 432.85 (21.50)      | ent 0.003
Step   27000 (g21.3+d7.9)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 305.43         max: 511.57         Avg: 373.02 (20.62)      | ent 0.003
Step   28000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.21      | [R_te] min: 273.04         max: 408.38         Avg: 361.97 (12.98)      | ent 0.002
Step   29000 (g21.3+d7.9)s        | [D] min: 0.00       max: 0.06      | [R_te] min: 136.61         max: 315.87         Avg: 246.99 (17.19)      | ent 0.002
Step   30000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.05      | [R_te] min: 112.42         max: 189.21         Avg: 146.64 (6.92)       | ent 0.002
Step   31000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.18      | [R_te] min: 89.82          max: 129.97         Avg: 99.33 (3.59)        | ent 0.002
Step   32000 (g21.3+d7.9)s        | [D] min: 0.00       max: 0.22      | [R_te] min: 75.05          max: 77.81          Avg: 76.53 (0.35)        | ent 0.002
Step   33000 (g21.3+d7.8)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 74.77          max: 76.45          Avg: 75.51 (0.14)        | ent 0.001
Step   34000 (g21.3+d7.9)s        | [D] min: 0.00       max: 0.14      | [R_te] min: 70.73          max: 78.21          Avg: 75.35 (0.78)        | ent 0.001
Step   35000 (g21.3+d7.9)s        | [D] min: 0.00       max: 0.51      | [R_te] min: 75.90          max: 92.35          Avg: 80.68 (1.47)        | ent 0.001
