Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 247.96         max: 286.27         Avg: 272.45 (4.15)       | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 0.48       max: 1.86      | [R_te] min: 196.92         max: 294.02         Avg: 268.81 (8.39)       | ent 1.000
Step    2000 (g20.5+d7.5)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 95.08          max: 96.73          Avg: 96.13 (0.15)        | ent 0.741
Step    3000 (g20.5+d7.5)s        | [D] min: 0.00       max: 0.28      | [R_te] min: 305.14         max: 348.53         Avg: 326.22 (4.02)       | ent 0.551
Step    4000 (g20.5+d7.6)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 288.91         max: 349.89         Avg: 323.74 (5.65)       | ent 0.414
Step    5000 (g20.6+d7.6)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 286.53         max: 327.49         Avg: 313.14 (4.07)       | ent 0.311
Step    6000 (g20.6+d7.6)s        | [D] min: 0.00       max: 0.20      | [R_te] min: 172.92         max: 224.99         Avg: 196.06 (6.23)       | ent 0.236
Step    7000 (g20.6+d7.6)s        | [D] min: 0.00       max: 0.23      | [R_te] min: 135.85         max: 161.06         Avg: 143.23 (2.23)       | ent 0.180
Step    8000 (g20.7+d7.6)s        | [D] min: 0.00       max: 0.44      | [R_te] min: 78.14          max: 112.26         Avg: 92.87 (3.66)        | ent 0.139
Step    9000 (g20.7+d7.6)s        | [D] min: 0.00       max: 0.34      | [R_te] min: 107.91         max: 128.28         Avg: 117.63 (2.25)       | ent 0.107
Step   10000 (g20.7+d7.7)s        | [D] min: 0.00       max: 0.23      | [R_te] min: 106.07         max: 264.02         Avg: 161.44 (16.77)      | ent 0.083
Step   11000 (g20.7+d7.7)s        | [D] min: 0.00       max: 0.74      | [R_te] min: 276.31         max: 551.15         Avg: 373.44 (23.72)      | ent 0.063
Step   12000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.20      | [R_te] min: 410.68         max: 647.23         Avg: 510.42 (23.47)      | ent 0.048
Step   13000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.20      | [R_te] min: 272.75         max: 309.40         Avg: 290.80 (2.91)       | ent 0.037
Step   14000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.21      | [R_te] min: 265.93         max: 385.66         Avg: 334.53 (13.18)      | ent 0.028
Step   15000 (g20.7+d7.7)s        | [D] min: 0.00       max: 0.42      | [R_te] min: 255.53         max: 508.87         Avg: 348.93 (25.91)      | ent 0.022
Step   16000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.35      | [R_te] min: 305.82         max: 401.49         Avg: 337.51 (8.76)       | ent 0.017
Step   17000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.25      | [R_te] min: 278.18         max: 373.81         Avg: 322.90 (9.09)       | ent 0.014
Step   18000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.63      | [R_te] min: 201.13         max: 248.35         Avg: 224.18 (4.33)       | ent 0.012
Step   19000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 259.86         max: 378.94         Avg: 309.76 (9.93)       | ent 0.010
Step   20000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.32      | [R_te] min: 191.71         max: 415.19         Avg: 261.85 (21.98)      | ent 0.008
Step   21000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.24      | [R_te] min: 240.08         max: 596.75         Avg: 346.88 (35.92)      | ent 0.007
Step   22000 (g20.8+d7.8)s        | [D] min: 0.00       max: 0.45      | [R_te] min: 163.98         max: 453.10         Avg: 271.86 (26.79)      | ent 0.005
Step   23000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.32      | [R_te] min: 254.23         max: 559.36         Avg: 372.79 (31.62)      | ent 0.004
Step   24000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.17      | [R_te] min: 277.30         max: 463.56         Avg: 330.11 (16.78)      | ent 0.003
Step   25000 (g20.8+d7.7)s        | [D] min: 0.00       max: 0.28      | [R_te] min: 235.78         max: 432.79         Avg: 334.10 (18.95)      | ent 0.003
Step   26000 (g21.1+d7.9)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 254.91         max: 626.20         Avg: 383.73 (32.69)      | ent 0.002
Step   27000 (g21.3+d7.9)s        | [D] min: 0.00       max: 0.25      | [R_te] min: 271.32         max: 330.74         Avg: 295.30 (5.44)       | ent 0.002
Step   28000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 254.32         max: 351.06         Avg: 309.52 (8.38)       | ent 0.002
Step   29000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.31      | [R_te] min: 247.80         max: 314.97         Avg: 271.16 (6.46)       | ent 0.001
Step   30000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 309.08         max: 566.62         Avg: 409.91 (20.64)      | ent 0.001
Step   31000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 272.07         max: 438.97         Avg: 337.83 (14.32)      | ent 0.001
Step   32000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.23      | [R_te] min: 123.39         max: 399.19         Avg: 268.79 (29.55)      | ent 0.001
Step   33000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.48      | [R_te] min: 237.35         max: 317.48         Avg: 283.15 (7.69)       | ent 0.001
Step   34000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 254.07         max: 427.34         Avg: 300.15 (16.14)      | ent 0.001
Step   35000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 239.06         max: 299.10         Avg: 275.98 (5.31)       | ent 0.001
Step   36000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.55      | [R_te] min: 226.58         max: 279.67         Avg: 256.90 (5.19)       | ent 0.001
Step   37000 (g21.4+d8.0)s        | [D] min: 0.00       max: 0.26      | [R_te] min: 63.43          max: 68.81          Avg: 68.04 (0.49)        | ent 0.000
Step   38000 (g21.4+d7.9)s        | [D] min: 0.00       max: 0.18      | [R_te] min: 64.22          max: 70.78          Avg: 66.30 (0.79)        | ent 0.000
Step   39000 (g21.4+d7.9)s        | [D] min: 0.00       max: 1.77      | [R_te] min: 65.71          max: 75.75          Avg: 71.28 (0.83)        | ent 0.000
