Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] Avg 0: 180.80 (0.00)         1: 184.03 (0.00)         2: 173.58 (0.00)         3: 178.18 (0.00)         4: 175.60 (0.00)         5: 185.69 (0.00)         6: 187.99 (0.00)         7: 181.02 (0.00)         8: 169.91 (0.00)         9: 173.78 (0.00)         | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 2.03       max: 3.35      | [R_te] Avg 0: 176.01 (0.00)         1: 186.21 (0.00)         2: 179.64 (0.00)         3: 171.49 (0.00)         4: 189.02 (0.00)         5: 183.29 (0.00)         6: 182.45 (0.00)         7: 167.90 (0.00)         8: 173.39 (0.00)         9: 180.07 (0.00)         | ent 1.000
Step    2000 (g23.4+d13.2)s       | [D] min: -0.39      max: 2.16      | [R_te] Avg 0: 115.58 (0.00)         1: 116.45 (0.00)         2: 116.87 (0.00)         3: 115.84 (0.00)         4: 116.38 (0.00)         5: 116.65 (0.00)         6: 115.86 (0.00)         7: 116.22 (0.00)         8: 115.16 (0.00)         9: 115.14 (0.00)         | ent 0.741
Step    3000 (g23.2+d13.2)s       | [D] min: -0.14      max: 1.63      | [R_te] Avg 0: 355.62 (0.00)         1: 343.77 (0.00)         2: 350.91 (0.00)         3: 391.36 (0.00)         4: 315.91 (0.00)         5: 391.05 (0.00)         6: 376.37 (0.00)         7: 354.70 (0.00)         8: 382.90 (0.00)         9: 361.03 (0.00)         | ent 0.552
Step    4000 (g23.2+d13.3)s       | [D] min: -1.23      max: 1.89      | [R_te] Avg 0: 336.63 (0.00)         1: 390.91 (0.00)         2: 359.58 (0.00)         3: 356.72 (0.00)         4: 355.16 (0.00)         5: 359.15 (0.00)         6: 316.24 (0.00)         7: 388.96 (0.00)         8: 379.60 (0.00)         9: 355.58 (0.00)         | ent 0.414
Step    5000 (g23.3+d13.4)s       | [D] min: -0.25      max: 1.90      | [R_te] Avg 0: 385.54 (0.00)         1: 315.46 (0.00)         2: 398.68 (0.00)         3: 345.97 (0.00)         4: 340.95 (0.00)         5: 358.05 (0.00)         6: 328.52 (0.00)         7: 334.54 (0.00)         8: 378.69 (0.00)         9: 303.68 (0.00)         | ent 0.312
Step    6000 (g23.3+d13.4)s       | [D] min: -0.57      max: 1.89      | [R_te] Avg 0: 189.21 (0.00)         1: 180.88 (0.00)         2: 176.51 (0.00)         3: 183.31 (0.00)         4: 198.61 (0.00)         5: 192.28 (0.00)         6: 140.32 (0.00)         7: 183.25 (0.00)         8: 196.62 (0.00)         9: 118.59 (0.00)         | ent 0.236
Step    7000 (g23.4+d13.3)s       | [D] min: -1.42      max: 2.75      | [R_te] Avg 0: 94.80 (0.00)          1: 85.51 (0.00)          2: 95.98 (0.00)          3: 90.02 (0.00)          4: 89.51 (0.00)          5: 113.17 (0.00)         6: 93.87 (0.00)          7: 91.87 (0.00)          8: 89.70 (0.00)          9: 89.51 (0.00)          | ent 0.181
Step    8000 (g23.6+d13.4)s       | [D] min: -0.24      max: 2.59      | [R_te] Avg 0: 81.88 (0.00)          1: 81.28 (0.00)          2: 82.15 (0.00)          3: 80.90 (0.00)          4: 78.38 (0.00)          5: 87.32 (0.00)          6: 81.64 (0.00)          7: 81.24 (0.00)          8: 79.63 (0.00)          9: 80.24 (0.00)          | ent 0.141
Step    9000 (g23.8+d13.5)s       | [D] min: -0.38      max: 2.75      | [R_te] Avg 0: 96.67 (0.00)          1: 91.51 (0.00)          2: 89.71 (0.00)          3: 83.82 (0.00)          4: 96.61 (0.00)          5: 93.45 (0.00)          6: 91.01 (0.00)          7: 91.61 (0.00)          8: 84.43 (0.00)          9: 83.34 (0.00)          | ent 0.110
Step   10000 (g24.0+d13.7)s       | [D] min: -0.34      max: 1.43      | [R_te] Avg 0: 143.06 (0.00)         1: 127.97 (0.00)         2: 130.96 (0.00)         3: 148.24 (0.00)         4: 133.27 (0.00)         5: 142.80 (0.00)         6: 136.68 (0.00)         7: 129.03 (0.00)         8: 120.59 (0.00)         9: 147.12 (0.00)         | ent 0.087
Step   11000 (g23.3+d13.5)s       | [D] min: -0.28      max: 3.47      | [R_te] Avg 0: 495.19 (0.00)         1: 386.77 (0.00)         2: 397.23 (0.00)         3: 451.03 (0.00)         4: 523.45 (0.00)         5: 327.39 (0.00)         6: 482.14 (0.00)         7: 451.47 (0.00)         8: 422.43 (0.00)         9: 391.37 (0.00)         | ent 0.067
Step   12000 (g23.6+d13.6)s       | [D] min: -0.43      max: 2.42      | [R_te] Avg 0: 314.40 (0.00)         1: 273.87 (0.00)         2: 262.93 (0.00)         3: 321.54 (0.00)         4: 356.60 (0.00)         5: 238.61 (0.00)         6: 361.00 (0.00)         7: 328.77 (0.00)         8: 436.34 (0.00)         9: 274.30 (0.00)         | ent 0.051
Step   13000 (g23.3+d13.6)s       | [D] min: -0.28      max: 3.09      | [R_te] Avg 0: 431.09 (0.00)         1: 271.56 (0.00)         2: 267.53 (0.00)         3: 251.06 (0.00)         4: 318.21 (0.00)         5: 334.29 (0.00)         6: 359.29 (0.00)         7: 318.53 (0.00)         8: 279.04 (0.00)         9: 286.12 (0.00)         | ent 0.040
Step   14000 (g23.7+d13.7)s       | [D] min: -0.10      max: 2.52      | [R_te] Avg 0: 395.70 (0.00)         1: 344.00 (0.00)         2: 236.46 (0.00)         3: 347.20 (0.00)         4: 278.14 (0.00)         5: 307.19 (0.00)         6: 344.36 (0.00)         7: 324.04 (0.00)         8: 322.09 (0.00)         9: 339.93 (0.00)         | ent 0.032
Step   15000 (g23.8+d13.7)s       | [D] min: -0.22      max: 3.09      | [R_te] Avg 0: 385.14 (0.00)         1: 299.00 (0.00)         2: 326.42 (0.00)         3: 336.24 (0.00)         4: 378.32 (0.00)         5: 391.73 (0.00)         6: 386.46 (0.00)         7: 452.69 (0.00)         8: 241.75 (0.00)         9: 376.43 (0.00)         | ent 0.026
