Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] Avg 0: 180.80 (0.00)         1: 184.03 (0.00)         2: 173.58 (0.00)         3: 178.18 (0.00)         4: 175.60 (0.00)         5: 185.69 (0.00)         6: 187.99 (0.00)         7: 181.02 (0.00)         8: 169.91 (0.00)         9: 173.78 (0.00)         | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 2.03       max: 3.36      | [R_te] Avg 0: 176.01 (0.00)         1: 186.21 (0.00)         2: 179.64 (0.00)         3: 171.49 (0.00)         4: 189.02 (0.00)         5: 183.29 (0.00)         6: 182.45 (0.00)         7: 167.90 (0.00)         8: 173.39 (0.00)         9: 180.07 (0.00)         | ent 1.000
Step    2000 (g22.7+d12.5)s       | [D] min: -0.43      max: 1.63      | [R_te] Avg 0: 124.43 (0.00)         1: 132.78 (0.00)         2: 133.16 (0.00)         3: 130.69 (0.00)         4: 132.52 (0.00)         5: 133.01 (0.00)         6: 131.73 (0.00)         7: 131.32 (0.00)         8: 131.04 (0.00)         9: 125.91 (0.00)         | ent 0.741
Step    3000 (g22.9+d12.7)s       | [D] min: -0.14      max: 2.78      | [R_te] Avg 0: 380.47 (0.00)         1: 376.68 (0.00)         2: 391.41 (0.00)         3: 435.39 (0.00)         4: 373.66 (0.00)         5: 440.94 (0.00)         6: 420.82 (0.00)         7: 386.93 (0.00)         8: 408.29 (0.00)         9: 398.37 (0.00)         | ent 0.552
Step    4000 (g22.9+d12.6)s       | [D] min: -0.66      max: 1.37      | [R_te] Avg 0: 305.87 (0.00)         1: 344.54 (0.00)         2: 322.83 (0.00)         3: 319.80 (0.00)         4: 317.87 (0.00)         5: 310.26 (0.00)         6: 303.93 (0.00)         7: 334.43 (0.00)         8: 325.31 (0.00)         9: 319.06 (0.00)         | ent 0.415
Step    5000 (g22.9+d12.7)s       | [D] min: -0.36      max: 3.03      | [R_te] Avg 0: 275.04 (0.00)         1: 281.22 (0.00)         2: 316.89 (0.00)         3: 316.82 (0.00)         4: 307.01 (0.00)         5: 285.77 (0.00)         6: 250.89 (0.00)         7: 265.01 (0.00)         8: 300.35 (0.00)         9: 245.76 (0.00)         | ent 0.312
Step    6000 (g22.9+d12.7)s       | [D] min: -0.41      max: 1.71      | [R_te] Avg 0: 230.59 (0.00)         1: 222.50 (0.00)         2: 220.17 (0.00)         3: 237.91 (0.00)         4: 237.15 (0.00)         5: 209.35 (0.00)         6: 218.87 (0.00)         7: 223.97 (0.00)         8: 248.54 (0.00)         9: 188.84 (0.00)         | ent 0.236
Step    7000 (g22.9+d12.7)s       | [D] min: -0.58      max: 3.12      | [R_te] Avg 0: 112.34 (0.00)         1: 126.30 (0.00)         2: 107.43 (0.00)         3: 111.53 (0.00)         4: 112.65 (0.00)         5: 111.66 (0.00)         6: 117.20 (0.00)         7: 112.04 (0.00)         8: 132.48 (0.00)         9: 111.51 (0.00)         | ent 0.181
Step    8000 (g23.0+d12.7)s       | [D] min: -0.19      max: 2.58      | [R_te] Avg 0: 84.88 (0.00)          1: 84.63 (0.00)          2: 85.35 (0.00)          3: 88.28 (0.00)          4: 87.06 (0.00)          5: 88.52 (0.00)          6: 89.35 (0.00)          7: 88.82 (0.00)          8: 84.79 (0.00)          9: 83.02 (0.00)          | ent 0.140
Step    9000 (g23.0+d12.7)s       | [D] min: -0.33      max: 2.49      | [R_te] Avg 0: 122.06 (0.00)         1: 115.19 (0.00)         2: 114.83 (0.00)         3: 104.13 (0.00)         4: 116.72 (0.00)         5: 118.41 (0.00)         6: 119.20 (0.00)         7: 120.11 (0.00)         8: 108.06 (0.00)         9: 98.92 (0.00)          | ent 0.109
Step   10000 (g23.0+d12.7)s       | [D] min: -0.18      max: 1.77      | [R_te] Avg 0: 368.87 (0.00)         1: 397.90 (0.00)         2: 342.61 (0.00)         3: 449.58 (0.00)         4: 411.30 (0.00)         5: 348.46 (0.00)         6: 348.15 (0.00)         7: 322.52 (0.00)         8: 309.31 (0.00)         9: 555.56 (0.00)         | ent 0.086
