Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 2.00       max: 3.20      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000
Step    2000 (g21.2+d7.9)s        | [D] min: 0.00       max: 3.12      | [R_te] min: 156.57         max: 161.54         Avg: 158.15 (0.39)       | ent 0.741
Step    3000 (g21.2+d7.9)s        | [D] min: 0.00       max: 1.21      | [R_te] min: 254.59         max: 293.42         Avg: 278.80 (3.40)       | ent 0.553
Step    4000 (g21.3+d7.9)s        | [D] min: 0.00       max: 2.20      | [R_te] min: 250.84         max: 297.24         Avg: 273.21 (4.03)       | ent 0.416
Step    5000 (g21.3+d7.9)s        | [D] min: 0.03       max: 3.24      | [R_te] min: 288.53         max: 363.98         Avg: 323.69 (8.21)       | ent 0.314
Step    6000 (g21.4+d8.0)s        | [D] min: 0.10       max: 1.96      | [R_te] min: 216.52         max: 286.72         Avg: 243.39 (7.72)       | ent 0.239
Step    7000 (g21.4+d8.0)s        | [D] min: 0.15       max: 2.05      | [R_te] min: 186.29         max: 238.58         Avg: 207.02 (4.41)       | ent 0.184
Step    8000 (g21.4+d8.0)s        | [D] min: 0.11       max: 2.13      | [R_te] min: 76.24          max: 176.62         Avg: 139.86 (10.49)      | ent 0.142
Step    9000 (g21.4+d8.0)s        | [D] min: 0.16       max: 2.85      | [R_te] min: 79.43          max: 242.38         Avg: 157.44 (17.87)      | ent 0.111
Step   10000 (g21.4+d8.0)s        | [D] min: 0.13       max: 3.27      | [R_te] min: 69.66          max: 129.61         Avg: 83.54 (5.96)        | ent 0.089
Step   11000 (g21.5+d8.0)s        | [D] min: 0.07       max: 1.93      | [R_te] min: 165.50         max: 174.09         Avg: 169.57 (0.89)       | ent 0.069
Step   12000 (g21.5+d8.0)s        | [D] min: 0.12       max: 2.53      | [R_te] min: 162.35         max: 349.17         Avg: 273.86 (15.12)      | ent 0.053
Step   13000 (g21.5+d8.0)s        | [D] min: 0.00       max: 1.98      | [R_te] min: 177.71         max: 338.89         Avg: 235.92 (16.05)      | ent 0.041
Step   14000 (g21.5+d8.1)s        | [D] min: 0.12       max: 2.20      | [R_te] min: 228.29         max: 311.43         Avg: 250.97 (7.51)       | ent 0.032
Step   15000 (g21.5+d8.1)s        | [D] min: 0.08       max: 3.05      | [R_te] min: 357.03         max: 492.82         Avg: 414.33 (13.32)      | ent 0.026
Step   16000 (g21.5+d8.1)s        | [D] min: 0.06       max: 2.33      | [R_te] min: 286.49         max: 644.74         Avg: 381.37 (29.78)      | ent 0.023
Step   17000 (g21.5+d8.1)s        | [D] min: 0.11       max: 2.27      | [R_te] min: 247.37         max: 546.41         Avg: 416.44 (28.20)      | ent 0.021
Step   18000 (g21.5+d8.1)s        | [D] min: 0.09       max: 2.29      | [R_te] min: 295.86         max: 471.79         Avg: 377.44 (18.28)      | ent 0.018
Step   19000 (g21.5+d8.1)s        | [D] min: 0.13       max: 2.55      | [R_te] min: 300.08         max: 465.90         Avg: 376.38 (19.20)      | ent 0.016
Step   20000 (g21.5+d8.1)s        | [D] min: 0.12       max: 2.13      | [R_te] min: 268.73         max: 362.69         Avg: 324.52 (8.56)       | ent 0.014
Step   21000 (g21.5+d8.1)s        | [D] min: 0.12       max: 1.68      | [R_te] min: 238.62         max: 338.48         Avg: 287.48 (11.38)      | ent 0.012
Step   22000 (g21.5+d8.1)s        | [D] min: 0.11       max: 1.93      | [R_te] min: 379.93         max: 490.77         Avg: 426.05 (13.14)      | ent 0.011
Step   23000 (g21.5+d8.1)s        | [D] min: 0.13       max: 2.32      | [R_te] min: 319.74         max: 452.53         Avg: 378.08 (13.73)      | ent 0.009
Step   24000 (g21.6+d8.1)s        | [D] min: 0.10       max: 1.78      | [R_te] min: 317.10         max: 441.57         Avg: 377.91 (13.08)      | ent 0.007
Step   25000 (g21.5+d8.1)s        | [D] min: 0.14       max: 2.56      | [R_te] min: 317.70         max: 448.55         Avg: 360.93 (14.96)      | ent 0.006
Step   26000 (g21.6+d8.1)s        | [D] min: 0.11       max: 2.70      | [R_te] min: 349.88         max: 671.48         Avg: 478.50 (27.57)      | ent 0.005
