Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 2.07       max: 3.99      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000
Step    2000 (g20.8+d7.8)s        | [D] min: 0.01       max: 1.52      | [R_te] min: 253.21         max: 342.00         Avg: 295.21 (9.50)       | ent 0.741
Step    3000 (g20.8+d7.7)s        | [D] min: 0.06       max: 1.96      | [R_te] min: 240.83         max: 263.04         Avg: 250.18 (2.31)       | ent 0.553
Step    4000 (g20.9+d7.8)s        | [D] min: 0.08       max: 1.57      | [R_te] min: 248.82         max: 287.51         Avg: 262.28 (3.60)       | ent 0.418
Step    5000 (g20.9+d7.8)s        | [D] min: 0.10       max: 1.91      | [R_te] min: 273.63         max: 324.41         Avg: 303.13 (4.17)       | ent 0.315
Step    6000 (g20.9+d7.8)s        | [D] min: 0.12       max: 1.41      | [R_te] min: 146.42         max: 161.39         Avg: 152.23 (1.41)       | ent 0.240
Step    7000 (g20.9+d7.8)s        | [D] min: 0.15       max: 2.52      | [R_te] min: 110.33         max: 118.58         Avg: 116.46 (0.87)       | ent 0.184
Step    8000 (g20.9+d7.8)s        | [D] min: 0.15       max: 2.69      | [R_te] min: 365.44         max: 647.99         Avg: 440.21 (25.29)      | ent 0.142
Step    9000 (g21.0+d7.9)s        | [D] min: 0.16       max: 2.16      | [R_te] min: 119.18         max: 212.87         Avg: 151.04 (10.75)      | ent 0.111
Step   10000 (g21.0+d7.9)s        | [D] min: 0.16       max: 1.24      | [R_te] min: 104.95         max: 115.90         Avg: 110.10 (0.99)       | ent 0.087
Step   11000 (g21.1+d7.9)s        | [D] min: 0.12       max: 2.18      | [R_te] min: 225.36         max: 285.78         Avg: 248.48 (7.05)       | ent 0.067
Step   12000 (g21.1+d7.9)s        | [D] min: 0.14       max: 3.77      | [R_te] min: 227.59         max: 279.16         Avg: 252.54 (5.23)       | ent 0.051
Step   13000 (g21.1+d7.9)s        | [D] min: 0.10       max: 1.76      | [R_te] min: 247.31         max: 395.71         Avg: 306.45 (13.00)      | ent 0.040
Step   14000 (g21.1+d7.9)s        | [D] min: 0.10       max: 2.39      | [R_te] min: 255.47         max: 318.36         Avg: 289.66 (5.64)       | ent 0.031
Step   15000 (g21.1+d7.9)s        | [D] min: 0.14       max: 1.77      | [R_te] min: 179.98         max: 331.75         Avg: 224.76 (14.71)      | ent 0.025
Step   16000 (g21.1+d7.9)s        | [D] min: 0.13       max: 2.87      | [R_te] min: 179.83         max: 459.78         Avg: 239.36 (24.10)      | ent 0.020
Step   17000 (g21.1+d7.9)s        | [D] min: 0.05       max: 3.16      | [R_te] min: 227.36         max: 381.90         Avg: 294.24 (13.09)      | ent 0.018
Step   18000 (g21.0+d7.9)s        | [D] min: 0.04       max: 2.56      | [R_te] min: 267.15         max: 351.35         Avg: 308.22 (6.94)       | ent 0.017
Step   19000 (g21.1+d7.9)s        | [D] min: 0.14       max: 2.25      | [R_te] min: 246.27         max: 677.57         Avg: 441.59 (38.07)      | ent 0.015
Step   20000 (g21.1+d7.9)s        | [D] min: 0.09       max: 2.27      | [R_te] min: 247.17         max: 316.02         Avg: 272.42 (6.14)       | ent 0.012
Step   21000 (g21.1+d7.9)s        | [D] min: 0.08       max: 2.50      | [R_te] min: 260.66         max: 568.57         Avg: 430.47 (29.16)      | ent 0.011
