Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 2.05       max: 3.07      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000
Step    2000 (g21.1+d7.9)s        | [D] min: 0.11       max: 2.35      | [R_te] min: 164.86         max: 172.63         Avg: 170.12 (0.67)       | ent 0.741
Step    3000 (g21.2+d7.9)s        | [D] min: 0.13       max: 1.26      | [R_te] min: 260.74         max: 300.93         Avg: 286.54 (3.86)       | ent 0.553
Step    4000 (g21.3+d7.9)s        | [D] min: 0.22       max: 4.77      | [R_te] min: 257.11         max: 305.37         Avg: 280.13 (4.06)       | ent 0.417
Step    5000 (g21.3+d8.0)s        | [D] min: 0.20       max: 3.26      | [R_te] min: 207.00         max: 247.45         Avg: 221.19 (4.21)       | ent 0.316
Step    6000 (g21.3+d8.0)s        | [D] min: 0.16       max: 2.27      | [R_te] min: 304.74         max: 422.76         Avg: 341.95 (10.46)      | ent 0.241
Step    7000 (g21.4+d8.0)s        | [D] min: 0.20       max: 2.42      | [R_te] min: 222.40         max: 252.02         Avg: 237.26 (3.30)       | ent 0.185
Step    8000 (g21.4+d8.1)s        | [D] min: 0.22       max: 2.66      | [R_te] min: 111.35         max: 239.17         Avg: 178.39 (14.85)      | ent 0.144
Step    9000 (g21.7+d8.2)s        | [D] min: 0.24       max: 3.02      | [R_te] min: 73.95          max: 111.52         Avg: 86.20 (4.57)        | ent 0.112
Step   10000 (g21.5+d8.1)s        | [D] min: 0.14       max: 2.76      | [R_te] min: 75.84          max: 86.02          Avg: 81.51 (1.16)        | ent 0.089
Step   11000 (g21.6+d8.1)s        | [D] min: 0.21       max: 3.09      | [R_te] min: 215.09         max: 300.04         Avg: 262.27 (7.91)       | ent 0.070
Step   12000 (g21.4+d8.1)s        | [D] min: 0.18       max: 3.18      | [R_te] min: 243.87         max: 270.63         Avg: 254.94 (2.15)       | ent 0.054
Step   13000 (g21.4+d8.1)s        | [D] min: 0.20       max: 3.43      | [R_te] min: 250.90         max: 347.06         Avg: 312.51 (8.14)       | ent 0.043
Step   14000 (g21.4+d8.1)s        | [D] min: 0.20       max: 1.98      | [R_te] min: 168.63         max: 283.22         Avg: 199.45 (12.10)      | ent 0.033
Step   15000 (g21.5+d8.1)s        | [D] min: 0.19       max: 3.82      | [R_te] min: 340.97         max: 491.30         Avg: 401.14 (14.30)      | ent 0.027
Step   16000 (g21.5+d8.1)s        | [D] min: 0.18       max: 2.34      | [R_te] min: 235.54         max: 333.70         Avg: 276.22 (7.98)       | ent 0.024
Step   17000 (g21.5+d8.1)s        | [D] min: 0.25       max: 1.79      | [R_te] min: 193.40         max: 334.84         Avg: 240.82 (12.19)      | ent 0.021
Step   18000 (g21.4+d8.1)s        | [D] min: 0.18       max: 2.73      | [R_te] min: 160.57         max: 321.20         Avg: 214.18 (16.55)      | ent 0.019
Step   19000 (g21.5+d8.1)s        | [D] min: 0.14       max: 3.61      | [R_te] min: 277.55         max: 591.62         Avg: 340.21 (28.05)      | ent 0.017
Step   20000 (g21.5+d8.1)s        | [D] min: 0.12       max: 2.45      | [R_te] min: 334.22         max: 464.04         Avg: 411.38 (11.37)      | ent 0.015
Step   21000 (g21.5+d8.1)s        | [D] min: 0.24       max: 2.45      | [R_te] min: 282.90         max: 451.36         Avg: 349.72 (17.30)      | ent 0.013
Step   22000 (g21.5+d8.1)s        | [D] min: 0.22       max: 2.42      | [R_te] min: 239.71         max: 407.20         Avg: 304.05 (16.60)      | ent 0.012
Step   23000 (g21.5+d8.1)s        | [D] min: 0.22       max: 3.06      | [R_te] min: 361.97         max: 613.42         Avg: 465.23 (22.68)      | ent 0.010
Step   24000 (g21.5+d8.1)s        | [D] min: 0.19       max: 2.15      | [R_te] min: 277.08         max: 387.30         Avg: 321.07 (11.74)      | ent 0.009
Step   25000 (g21.5+d8.1)s        | [D] min: 0.25       max: 2.53      | [R_te] min: 275.17         max: 482.51         Avg: 367.62 (22.73)      | ent 0.008
Step   26000 (g21.5+d8.1)s        | [D] min: 0.07       max: 2.21      | [R_te] min: 242.85         max: 503.04         Avg: 358.70 (24.19)      | ent 0.007
Step   27000 (g21.5+d8.1)s        | [D] min: 0.18       max: 2.02      | [R_te] min: 309.77         max: 534.37         Avg: 390.04 (19.44)      | ent 0.006
Step   28000 (g21.5+d8.1)s        | [D] min: 0.20       max: 2.43      | [R_te] min: 296.20         max: 560.01         Avg: 404.54 (29.22)      | ent 0.005
Step   29000 (g21.6+d8.2)s        | [D] min: 0.20       max: 3.29      | [R_te] min: 265.88         max: 500.55         Avg: 386.36 (25.21)      | ent 0.004
Step   30000 (g21.5+d8.1)s        | [D] min: 0.18       max: 2.74      | [R_te] min: 282.23         max: 628.89         Avg: 427.90 (36.97)      | ent 0.004
Step   31000 (g21.5+d8.1)s        | [D] min: 0.01       max: 2.96      | [R_te] min: 313.68         max: 620.86         Avg: 450.79 (24.99)      | ent 0.003
