Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 2.18       max: 4.05      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000
Step    2000 (g21.2+d7.9)s        | [D] min: 0.05       max: 2.37      | [R_te] min: 309.34         max: 345.25         Avg: 324.26 (3.54)       | ent 0.741
Step    3000 (g21.2+d7.9)s        | [D] min: 0.11       max: 2.54      | [R_te] min: 250.24         max: 276.25         Avg: 265.18 (2.58)       | ent 0.553
Step    4000 (g21.3+d8.0)s        | [D] min: 0.16       max: 2.04      | [R_te] min: 247.46         max: 274.76         Avg: 259.36 (2.99)       | ent 0.417
Step    5000 (g21.3+d8.0)s        | [D] min: 0.20       max: 2.54      | [R_te] min: 279.12         max: 325.75         Avg: 307.18 (4.20)       | ent 0.315
Step    6000 (g21.3+d8.0)s        | [D] min: 0.25       max: 1.87      | [R_te] min: 74.84          max: 89.89          Avg: 83.20 (1.61)        | ent 0.239
Step    7000 (g21.4+d8.0)s        | [D] min: 0.22       max: 2.49      | [R_te] min: 174.24         max: 270.91         Avg: 190.94 (8.77)       | ent 0.183
Step    8000 (g21.4+d8.1)s        | [D] min: 0.20       max: 2.60      | [R_te] min: 105.88         max: 222.13         Avg: 140.50 (9.24)       | ent 0.141
Step    9000 (g21.7+d8.2)s        | [D] min: 0.18       max: 2.42      | [R_te] min: 89.69          max: 95.80          Avg: 92.39 (0.62)        | ent 0.110
Step   10000 (g21.5+d8.1)s        | [D] min: 0.21       max: 2.07      | [R_te] min: 80.96          max: 87.06          Avg: 85.27 (0.51)        | ent 0.087
Step   11000 (g21.4+d8.1)s        | [D] min: 0.21       max: 2.54      | [R_te] min: 228.70         max: 434.92         Avg: 338.24 (17.98)      | ent 0.067
Step   12000 (g21.4+d8.1)s        | [D] min: 0.23       max: 2.80      | [R_te] min: 244.27         max: 310.43         Avg: 292.32 (5.85)       | ent 0.052
Step   13000 (g21.4+d8.1)s        | [D] min: 0.23       max: 2.89      | [R_te] min: 197.88         max: 385.02         Avg: 298.03 (23.40)      | ent 0.041
Step   14000 (g21.4+d8.1)s        | [D] min: 0.15       max: 2.39      | [R_te] min: 232.90         max: 406.53         Avg: 294.19 (15.58)      | ent 0.033
Step   15000 (g21.5+d8.1)s        | [D] min: 0.18       max: 2.36      | [R_te] min: 279.93         max: 451.08         Avg: 344.89 (16.14)      | ent 0.026
Step   16000 (g21.5+d8.1)s        | [D] min: 0.20       max: 3.23      | [R_te] min: 203.87         max: 242.32         Avg: 223.28 (3.72)       | ent 0.022
Step   17000 (g21.5+d8.1)s        | [D] min: 0.22       max: 1.92      | [R_te] min: 217.68         max: 263.78         Avg: 243.61 (5.38)       | ent 0.019
Step   18000 (g21.5+d8.1)s        | [D] min: 0.15       max: 2.19      | [R_te] min: 207.52         max: 309.36         Avg: 243.03 (8.64)       | ent 0.016
Step   19000 (g21.5+d8.1)s        | [D] min: 0.27       max: 2.43      | [R_te] min: 272.81         max: 423.73         Avg: 348.55 (13.87)      | ent 0.013
Step   20000 (g21.5+d8.1)s        | [D] min: 0.21       max: 2.40      | [R_te] min: 271.58         max: 482.84         Avg: 375.03 (20.69)      | ent 0.012
Step   21000 (g21.5+d8.1)s        | [D] min: 0.18       max: 1.81      | [R_te] min: 291.11         max: 360.06         Avg: 335.22 (6.41)       | ent 0.009
Step   22000 (g21.5+d8.1)s        | [D] min: 0.20       max: 2.76      | [R_te] min: 193.79         max: 287.09         Avg: 256.43 (8.28)       | ent 0.007
Step   23000 (g21.5+d8.1)s        | [D] min: 0.16       max: 1.98      | [R_te] min: 337.19         max: 729.33         Avg: 499.84 (33.94)      | ent 0.006
Step   24000 (g21.5+d8.1)s        | [D] min: 0.16       max: 1.96      | [R_te] min: 310.43         max: 477.58         Avg: 396.15 (16.37)      | ent 0.006
Step   25000 (g21.5+d8.1)s        | [D] min: 0.13       max: 2.31      | [R_te] min: 238.20         max: 356.37         Avg: 301.61 (12.90)      | ent 0.005
Step   26000 (g21.5+d8.1)s        | [D] min: 0.24       max: 1.69      | [R_te] min: 336.43         max: 585.73         Avg: 447.02 (28.04)      | ent 0.004
Step   27000 (g21.6+d8.2)s        | [D] min: 0.20       max: 4.37      | [R_te] min: 331.15         max: 768.57         Avg: 460.64 (42.40)      | ent 0.003
Step   28000 (g21.6+d8.2)s        | [D] min: 0.19       max: 2.76      | [R_te] min: 320.34         max: 714.78         Avg: 437.38 (38.88)      | ent 0.003
Step   29000 (g21.6+d8.2)s        | [D] min: 0.19       max: 2.36      | [R_te] min: 302.36         max: 494.23         Avg: 413.77 (21.58)      | ent 0.002
Step   30000 (g21.6+d8.2)s        | [D] min: 0.14       max: 2.12      | [R_te] min: 384.74         max: 615.29         Avg: 509.37 (18.72)      | ent 0.002
Step   31000 (g21.1+d8.0)s        | [D] min: 0.15       max: 1.80      | [R_te] min: 357.36         max: 430.09         Avg: 395.06 (7.58)       | ent 0.002
Step   32000 (g20.9+d7.9)s        | [D] min: 0.17       max: 1.84      | [R_te] min: 209.82         max: 463.46         Avg: 290.89 (23.41)      | ent 0.002
Step   33000 (g20.9+d7.9)s        | [D] min: 0.21       max: 2.11      | [R_te] min: 261.66         max: 366.94         Avg: 327.61 (9.75)       | ent 0.002
Step   34000 (g20.9+d7.9)s        | [D] min: 0.20       max: 2.20      | [R_te] min: 384.93         max: 708.54         Avg: 514.30 (34.15)      | ent 0.002
Step   35000 (g20.9+d7.9)s        | [D] min: 0.16       max: 2.68      | [R_te] min: 359.04         max: 461.68         Avg: 392.30 (11.79)      | ent 0.002
Step   36000 (g20.9+d7.9)s        | [D] min: 0.22       max: 1.84      | [R_te] min: 296.76         max: 491.39         Avg: 398.97 (18.39)      | ent 0.002
Step   37000 (g20.9+d7.9)s        | [D] min: 0.19       max: 2.49      | [R_te] min: 267.93         max: 371.52         Avg: 338.90 (8.51)       | ent 0.002
Step   38000 (g20.9+d7.9)s        | [D] min: 0.19       max: 2.43      | [R_te] min: 320.63         max: 574.98         Avg: 425.60 (26.31)      | ent 0.002
Step   39000 (g20.9+d7.9)s        | [D] min: 0.17       max: 3.43      | [R_te] min: 310.53         max: 718.93         Avg: 456.94 (39.37)      | ent 0.002
Step   40000 (g20.9+d7.9)s        | [D] min: 0.17       max: 2.40      | [R_te] min: 315.08         max: 349.78         Avg: 328.16 (3.28)       | ent 0.002
Step   41000 (g20.9+d8.0)s        | [D] min: 0.14       max: 2.92      | [R_te] min: 266.43         max: 356.78         Avg: 314.73 (8.31)       | ent 0.002
Step   42000 (g20.9+d7.9)s        | [D] min: 0.20       max: 2.10      | [R_te] min: 351.02         max: 609.54         Avg: 417.93 (24.09)      | ent 0.002
Step   43000 (g20.9+d8.0)s        | [D] min: 0.18       max: 2.29      | [R_te] min: 346.68         max: 401.06         Avg: 373.90 (4.18)       | ent 0.002
Step   44000 (g20.9+d7.9)s        | [D] min: 0.18       max: 1.80      | [R_te] min: 248.88         max: 452.01         Avg: 339.71 (19.11)      | ent 0.002
Step   45000 (g21.0+d8.0)s        | [D] min: 0.20       max: 1.82      | [R_te] min: 350.08         max: 518.11         Avg: 421.45 (14.43)      | ent 0.002
Step   46000 (g20.9+d8.0)s        | [D] min: 0.16       max: 2.76      | [R_te] min: 407.64         max: 523.92         Avg: 453.10 (10.06)      | ent 0.002
Step   47000 (g20.9+d7.9)s        | [D] min: 0.14       max: 2.35      | [R_te] min: 350.26         max: 513.05         Avg: 442.01 (16.46)      | ent 0.002
Step   48000 (g20.9+d8.0)s        | [D] min: 0.12       max: 2.05      | [R_te] min: 288.81         max: 357.45         Avg: 311.31 (5.89)       | ent 0.002
Step   49000 (g20.9+d7.9)s        | [D] min: 0.15       max: 1.91      | [R_te] min: 298.47         max: 404.23         Avg: 349.66 (8.21)       | ent 0.002
Step   50000 (g20.9+d8.0)s        | [D] min: 0.25       max: 2.53      | [R_te] min: 266.91         max: 359.67         Avg: 307.29 (9.45)       | ent 0.002
Step   51000 (g20.9+d8.0)s        | [D] min: 0.18       max: 3.32      | [R_te] min: 313.66         max: 822.46         Avg: 459.44 (44.74)      | ent 0.002
Step   52000 (g20.9+d8.0)s        | [D] min: 0.18       max: 2.10      | [R_te] min: 338.14         max: 508.32         Avg: 420.86 (17.92)      | ent 0.002
Step   53000 (g20.9+d8.0)s        | [D] min: 0.21       max: 2.15      | [R_te] min: 296.39         max: 597.94         Avg: 408.58 (23.65)      | ent 0.002
Step   54000 (g20.9+d7.9)s        | [D] min: 0.14       max: 3.16      | [R_te] min: 274.76         max: 569.41         Avg: 368.73 (32.95)      | ent 0.002
Step   55000 (g21.0+d8.0)s        | [D] min: 0.17       max: 2.90      | [R_te] min: 310.29         max: 644.39         Avg: 416.94 (33.57)      | ent 0.002
Step   56000 (g20.9+d7.9)s        | [D] min: 0.27       max: 3.44      | [R_te] min: 233.60         max: 275.69         Avg: 248.96 (3.51)       | ent 0.002
Step   57000 (g20.9+d8.0)s        | [D] min: 0.17       max: 1.97      | [R_te] min: 334.89         max: 416.75         Avg: 363.73 (7.62)       | ent 0.002
Step   58000 (g20.9+d7.9)s        | [D] min: 0.20       max: 2.86      | [R_te] min: 339.15         max: 635.29         Avg: 448.84 (31.31)      | ent 0.002
Step   59000 (g20.9+d8.0)s        | [D] min: 0.16       max: 4.24      | [R_te] min: 305.76         max: 515.75         Avg: 402.71 (24.31)      | ent 0.002
Step   60000 (g21.0+d8.0)s        | [D] min: 0.14       max: 2.14      | [R_te] min: 415.83         max: 562.73         Avg: 486.81 (16.59)      | ent 0.002
Step   61000 (g20.9+d8.0)s        | [D] min: 0.17       max: 2.06      | [R_te] min: 404.99         max: 691.10         Avg: 524.02 (30.04)      | ent 0.002
Step   62000 (g20.9+d8.0)s        | [D] min: 0.19       max: 1.88      | [R_te] min: 346.31         max: 547.25         Avg: 454.73 (19.28)      | ent 0.002
Step   63000 (g20.9+d7.9)s        | [D] min: 0.21       max: 2.71      | [R_te] min: 354.39         max: 456.85         Avg: 413.44 (10.79)      | ent 0.002
Step   64000 (g21.0+d8.0)s        | [D] min: 0.21       max: 3.09      | [R_te] min: 331.92         max: 397.33         Avg: 353.64 (6.90)       | ent 0.002
Step   65000 (g20.9+d7.9)s        | [D] min: 0.22       max: 2.04      | [R_te] min: 380.18         max: 493.51         Avg: 420.16 (11.59)      | ent 0.002
Step   66000 (g20.9+d8.0)s        | [D] min: 0.21       max: 1.75      | [R_te] min: 303.22         max: 464.56         Avg: 366.96 (14.00)      | ent 0.002
Step   67000 (g20.9+d8.0)s        | [D] min: 0.25       max: 2.22      | [R_te] min: 346.10         max: 533.39         Avg: 444.22 (17.98)      | ent 0.002
Step   68000 (g20.9+d8.0)s        | [D] min: 0.17       max: 3.97      | [R_te] min: 398.90         max: 1084.58        Avg: 550.73 (63.18)      | ent 0.002
Step   69000 (g20.9+d8.0)s        | [D] min: 0.25       max: 3.49      | [R_te] min: 270.93         max: 583.15         Avg: 468.19 (28.58)      | ent 0.002
Step   70000 (g20.9+d8.0)s        | [D] min: 0.18       max: 1.98      | [R_te] min: 289.85         max: 573.36         Avg: 401.04 (31.14)      | ent 0.002
Step   71000 (g20.9+d8.0)s        | [D] min: 0.23       max: 3.13      | [R_te] min: 364.82         max: 592.14         Avg: 514.54 (21.76)      | ent 0.002
Step   72000 (g20.9+d7.9)s        | [D] min: 0.22       max: 2.88      | [R_te] min: 400.19         max: 884.92         Avg: 652.35 (46.67)      | ent 0.002
Step   73000 (g21.0+d8.0)s        | [D] min: 0.24       max: 3.33      | [R_te] min: 358.13         max: 742.66         Avg: 564.19 (38.86)      | ent 0.002
Step   74000 (g20.9+d7.9)s        | [D] min: 0.19       max: 2.28      | [R_te] min: 324.60         max: 632.99         Avg: 447.34 (26.98)      | ent 0.002
