Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 287.09         max: 324.06         Avg: 307.72 (3.37)       | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 1.80       max: 3.35      | [R_te] min: 286.19         max: 325.62         Avg: 309.26 (4.45)       | ent 1.000
Step    2000 (g21.1+d7.9)s        | [D] min: 0.14       max: 1.45      | [R_te] min: 150.00         max: 155.77         Avg: 152.48 (0.67)       | ent 0.741
Step    3000 (g21.2+d7.9)s        | [D] min: 0.10       max: 2.00      | [R_te] min: 216.18         max: 234.13         Avg: 223.15 (1.70)       | ent 0.552
Step    4000 (g21.2+d7.9)s        | [D] min: 0.15       max: 2.30      | [R_te] min: 268.32         max: 305.74         Avg: 283.29 (4.26)       | ent 0.416
Step    5000 (g21.3+d8.0)s        | [D] min: 0.22       max: 2.35      | [R_te] min: 296.46         max: 354.26         Avg: 324.01 (6.45)       | ent 0.313
Step    6000 (g21.3+d8.0)s        | [D] min: 0.23       max: 2.00      | [R_te] min: 255.16         max: 299.35         Avg: 276.63 (3.97)       | ent 0.238
Step    7000 (g21.3+d8.0)s        | [D] min: 0.19       max: 2.14      | [R_te] min: 234.25         max: 263.93         Avg: 249.16 (2.68)       | ent 0.182
Step    8000 (g21.4+d8.1)s        | [D] min: 0.23       max: 1.94      | [R_te] min: 87.92          max: 103.04         Avg: 98.05 (1.40)        | ent 0.140
Step    9000 (g21.7+d8.2)s        | [D] min: 0.22       max: 2.14      | [R_te] min: 91.81          max: 100.63         Avg: 94.51 (0.90)        | ent 0.109
Step   10000 (g21.4+d8.1)s        | [D] min: 0.18       max: 1.59      | [R_te] min: 85.65          max: 96.74          Avg: 90.43 (1.07)        | ent 0.086
Step   11000 (g21.5+d8.1)s        | [D] min: 0.22       max: 3.36      | [R_te] min: 233.35         max: 297.42         Avg: 260.57 (6.05)       | ent 0.066
Step   12000 (g21.4+d8.1)s        | [D] min: 0.21       max: 2.34      | [R_te] min: 436.42         max: 951.87         Avg: 572.39 (46.40)      | ent 0.051
Step   13000 (g21.4+d8.1)s        | [D] min: 0.20       max: 2.21      | [R_te] min: 251.35         max: 364.38         Avg: 289.79 (10.89)      | ent 0.040
Step   14000 (g21.4+d8.1)s        | [D] min: 0.20       max: 2.23      | [R_te] min: 277.65         max: 560.46         Avg: 367.34 (26.78)      | ent 0.031
Step   15000 (g21.4+d8.1)s        | [D] min: 0.16       max: 2.33      | [R_te] min: 323.59         max: 485.99         Avg: 398.56 (16.97)      | ent 0.025
Step   16000 (g21.4+d8.1)s        | [D] min: 0.16       max: 2.27      | [R_te] min: 129.37         max: 336.51         Avg: 177.22 (21.44)      | ent 0.021
Step   17000 (g21.4+d8.1)s        | [D] min: 0.19       max: 2.31      | [R_te] min: 243.17         max: 496.22         Avg: 386.25 (25.62)      | ent 0.017
