Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 247.96         max: 286.27         Avg: 272.45 (4.15)       | ent 1.000
Step    1000 (g0.0+d0.6)s         | [D] min: 0.69       max: 0.92      | [R_te] min: 196.92         max: 294.02         Avg: 268.81 (8.39)       | ent 1.000
Step    2000 (g21.7+d12.0)s       | [D] min: 0.03       max: 0.30      | [R_te] min: 95.68          max: 102.23         Avg: 97.91 (0.81)        | ent 0.741
Step    3000 (g21.6+d12.1)s       | [D] min: 0.01       max: 0.23      | [R_te] min: 323.20         max: 368.45         Avg: 348.31 (4.21)       | ent 0.551
Step    4000 (g22.0+d12.2)s       | [D] min: 0.00       max: 0.42      | [R_te] min: 323.47         max: 397.96         Avg: 367.14 (6.56)       | ent 0.414
Step    5000 (g21.8+d12.2)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 339.82         max: 395.25         Avg: 363.06 (6.43)       | ent 0.311
Step    6000 (g22.1+d12.3)s       | [D] min: 0.00       max: 0.07      | [R_te] min: 125.32         max: 155.49         Avg: 136.86 (2.65)       | ent 0.235
Step    7000 (g22.2+d12.3)s       | [D] min: 0.00       max: 0.10      | [R_te] min: 98.65          max: 118.46         Avg: 108.95 (1.89)       | ent 0.180
Step    8000 (g21.8+d12.3)s       | [D] min: 0.00       max: 0.92      | [R_te] min: 86.62          max: 93.90          Avg: 91.15 (0.71)        | ent 0.139
Step    9000 (g21.9+d12.2)s       | [D] min: 0.00       max: 0.12      | [R_te] min: 87.99          max: 95.90          Avg: 91.48 (0.92)        | ent 0.107
Step   10000 (g21.9+d12.3)s       | [D] min: 0.01       max: 0.10      | [R_te] min: 139.13         max: 161.01         Avg: 149.65 (2.12)       | ent 0.083
Step   11000 (g22.0+d12.3)s       | [D] min: 0.01       max: 0.15      | [R_te] min: 344.51         max: 794.12         Avg: 520.26 (35.34)      | ent 0.063
Step   12000 (g22.3+d12.4)s       | [D] min: 0.01       max: 0.28      | [R_te] min: 177.18         max: 320.26         Avg: 213.92 (14.58)      | ent 0.048
Step   13000 (g22.4+d12.5)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 178.31         max: 415.73         Avg: 253.98 (24.82)      | ent 0.037
Step   14000 (g22.2+d12.3)s       | [D] min: 0.00       max: 0.32      | [R_te] min: 239.94         max: 398.75         Avg: 312.71 (13.79)      | ent 0.029
Step   15000 (g22.0+d12.3)s       | [D] min: 0.01       max: 0.29      | [R_te] min: 311.73         max: 464.79         Avg: 397.70 (11.31)      | ent 0.023
Step   16000 (g22.1+d12.3)s       | [D] min: 0.00       max: 0.27      | [R_te] min: 257.60         max: 321.47         Avg: 286.20 (6.15)       | ent 0.018
Step   17000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.11      | [R_te] min: 226.91         max: 343.26         Avg: 287.85 (10.78)      | ent 0.015
Step   18000 (g21.9+d12.3)s       | [D] min: 0.00       max: 0.59      | [R_te] min: 175.37         max: 378.66         Avg: 283.70 (18.25)      | ent 0.011
Step   19000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.28      | [R_te] min: 190.60         max: 328.49         Avg: 247.42 (12.53)      | ent 0.009
Step   20000 (g22.1+d12.4)s       | [D] min: 0.00       max: 1.42      | [R_te] min: 271.21         max: 466.74         Avg: 358.94 (20.37)      | ent 0.007
Step   21000 (g22.4+d12.5)s       | [D] min: 0.00       max: 0.15      | [R_te] min: 240.57         max: 488.36         Avg: 383.47 (25.11)      | ent 0.006
Step   22000 (g22.2+d12.3)s       | [D] min: 0.00       max: 0.20      | [R_te] min: 303.62         max: 663.50         Avg: 439.43 (34.59)      | ent 0.005
Step   23000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 373.03         max: 563.74         Avg: 438.06 (16.44)      | ent 0.004
Step   24000 (g22.2+d12.3)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 257.60         max: 475.00         Avg: 313.50 (18.68)      | ent 0.004
Step   25000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.14      | [R_te] min: 335.80         max: 522.49         Avg: 423.29 (17.87)      | ent 0.003
Step   26000 (g22.5+d12.5)s       | [D] min: 0.00       max: 0.11      | [R_te] min: 341.73         max: 554.47         Avg: 433.39 (18.30)      | ent 0.003
Step   27000 (g22.0+d12.4)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 318.83         max: 469.08         Avg: 376.79 (15.86)      | ent 0.002
Step   28000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.33      | [R_te] min: 318.03         max: 477.32         Avg: 413.95 (16.04)      | ent 0.002
Step   29000 (g22.1+d12.3)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 366.24         max: 650.26         Avg: 489.28 (27.31)      | ent 0.002
Step   30000 (g22.2+d12.4)s       | [D] min: 0.00       max: 0.15      | [R_te] min: 301.32         max: 352.84         Avg: 324.61 (4.93)       | ent 0.001
Step   31000 (g22.3+d12.5)s       | [D] min: 0.00       max: 0.15      | [R_te] min: 280.76         max: 506.21         Avg: 354.26 (21.05)      | ent 0.001
Step   32000 (g22.3+d12.4)s       | [D] min: 0.00       max: 0.26      | [R_te] min: 227.09         max: 489.74         Avg: 331.10 (30.23)      | ent 0.001
Step   33000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.12      | [R_te] min: 102.33         max: 133.09         Avg: 116.28 (3.23)       | ent 0.001
Step   34000 (g22.3+d12.6)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 74.99          max: 76.77          Avg: 75.87 (0.17)        | ent 0.000
Step   35000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.15      | [R_te] min: 69.19          max: 76.39          Avg: 72.01 (0.69)        | ent 0.000
Step   36000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.31      | [R_te] min: 92.75          max: 111.29         Avg: 100.38 (1.66)       | ent 0.000
Step   37000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.29      | [R_te] min: 76.83          max: 85.85          Avg: 81.98 (0.84)        | ent 0.000
Step   38000 (g22.2+d12.5)s       | [D] min: 0.00       max: 0.09      | [R_te] min: 72.51          max: 82.03          Avg: 75.93 (0.86)        | ent 0.000
Step   39000 (g22.0+d12.4)s       | [D] min: 0.00       max: 0.15      | [R_te] min: 73.50          max: 75.82          Avg: 75.30 (0.25)        | ent 0.000
Step   40000 (g22.4+d12.6)s       | [D] min: 0.00       max: 0.36      | [R_te] min: 72.73          max: 75.28          Avg: 74.24 (0.28)        | ent 0.000
Step   41000 (g22.3+d12.5)s       | [D] min: 0.00       max: 0.10      | [R_te] min: 69.21          max: 72.18          Avg: 71.39 (0.25)        | ent 0.000
Step   42000 (g22.0+d12.4)s       | [D] min: 0.00       max: 0.44      | [R_te] min: 71.70          max: 79.11          Avg: 75.57 (0.87)        | ent 0.000
Step   43000 (g22.0+d12.4)s       | [D] min: 0.00       max: 0.26      | [R_te] min: 124.36         max: 133.03         Avg: 129.34 (0.75)       | ent 0.000
Step   44000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.23      | [R_te] min: 122.75         max: 136.90         Avg: 131.47 (1.46)       | ent 0.000
Step   45000 (g22.2+d12.4)s       | [D] min: 0.00       max: 0.22      | [R_te] min: 126.64         max: 148.71         Avg: 135.83 (1.63)       | ent 0.000
Step   46000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.48      | [R_te] min: 128.09         max: 134.60         Avg: 130.93 (0.60)       | ent 0.000
Step   47000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 290.87         max: 344.32         Avg: 312.05 (4.70)       | ent 0.000
Step   48000 (g22.0+d12.4)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 228.45         max: 255.83         Avg: 238.83 (2.83)       | ent 0.000
Step   49000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.14      | [R_te] min: 219.45         max: 252.15         Avg: 237.32 (3.27)       | ent 0.000
Step   50000 (g22.6+d12.7)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 216.52         max: 236.10         Avg: 226.06 (2.00)       | ent 0.000
Step   51000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.14      | [R_te] min: 186.54         max: 250.68         Avg: 211.85 (5.49)       | ent 0.000
Step   52000 (g22.2+d12.4)s       | [D] min: 0.00       max: 0.49      | [R_te] min: 207.07         max: 227.10         Avg: 216.65 (2.31)       | ent 0.000
Step   53000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.20      | [R_te] min: 193.03         max: 231.12         Avg: 210.73 (4.12)       | ent 0.000
Step   54000 (g22.2+d12.5)s       | [D] min: 0.00       max: 0.52      | [R_te] min: 232.10         max: 286.33         Avg: 246.51 (5.08)       | ent 0.000
Step   55000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.55      | [R_te] min: 207.37         max: 234.78         Avg: 221.12 (2.69)       | ent 0.000
Step   56000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 182.98         max: 199.29         Avg: 189.18 (1.66)       | ent 0.000
Step   57000 (g22.3+d12.5)s       | [D] min: 0.00       max: 0.07      | [R_te] min: 202.36         max: 268.79         Avg: 237.71 (6.78)       | ent 0.000
Step   58000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.27      | [R_te] min: 226.15         max: 291.99         Avg: 266.50 (6.56)       | ent 0.000
Step   59000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 337.86         max: 403.28         Avg: 371.09 (7.40)       | ent 0.000
Step   60000 (g22.2+d12.4)s       | [D] min: 0.00       max: 0.20      | [R_te] min: 207.15         max: 351.04         Avg: 266.83 (18.18)      | ent 0.000
Step   61000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.08      | [R_te] min: 267.82         max: 344.80         Avg: 288.81 (6.26)       | ent 0.000
Step   62000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.32      | [R_te] min: 250.93         max: 376.42         Avg: 313.31 (10.34)      | ent 0.000
Step   63000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.73      | [R_te] min: 294.43         max: 364.36         Avg: 327.27 (6.37)       | ent 0.000
Step   64000 (g22.0+d12.3)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 242.42         max: 350.31         Avg: 312.17 (9.48)       | ent 0.000
Step   65000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.77      | [R_te] min: 251.22         max: 323.72         Avg: 275.55 (6.17)       | ent 0.000
Step   66000 (g22.1+d12.3)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 131.72         max: 194.51         Avg: 155.88 (6.77)       | ent 0.000
Step   67000 (g22.2+d12.4)s       | [D] min: 0.00       max: 2.34      | [R_te] min: 231.31         max: 330.67         Avg: 271.03 (8.82)       | ent 0.000
Step   68000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.59      | [R_te] min: 188.21         max: 260.27         Avg: 228.04 (6.06)       | ent 0.000
Step   69000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.48      | [R_te] min: 231.91         max: 339.42         Avg: 293.99 (11.40)      | ent 0.000
