Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 247.96         max: 286.27         Avg: 272.45 (4.15)       | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 0.69       max: 0.91      | [R_te] min: 196.92         max: 294.02         Avg: 268.81 (8.39)       | ent 1.000
Step    2000 (g21.5+d11.6)s       | [D] min: 0.02       max: 0.37      | [R_te] min: 99.98          max: 102.07         Avg: 101.35 (0.20)       | ent 0.741
Step    3000 (g21.6+d11.6)s       | [D] min: 0.00       max: 0.42      | [R_te] min: 336.28         max: 385.35         Avg: 361.57 (5.70)       | ent 0.551
Step    4000 (g21.6+d11.7)s       | [D] min: 0.00       max: 0.50      | [R_te] min: 322.74         max: 391.76         Avg: 366.89 (6.37)       | ent 0.414
Step    5000 (g21.7+d11.7)s       | [D] min: 0.00       max: 0.11      | [R_te] min: 373.85         max: 495.94         Avg: 432.51 (11.39)      | ent 0.312
Step    6000 (g21.7+d11.7)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 126.56         max: 140.99         Avg: 135.02 (1.66)       | ent 0.236
Step    7000 (g21.7+d11.7)s       | [D] min: 0.00       max: 0.39      | [R_te] min: 155.57         max: 192.89         Avg: 169.02 (2.97)       | ent 0.180
Step    8000 (g21.8+d11.8)s       | [D] min: 0.00       max: 1.83      | [R_te] min: 173.93         max: 224.27         Avg: 201.25 (4.74)       | ent 0.138
Step    9000 (g21.8+d11.8)s       | [D] min: 0.00       max: 0.14      | [R_te] min: 94.36          max: 99.74          Avg: 95.41 (0.47)        | ent 0.107
Step   10000 (g21.7+d11.8)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 109.80         max: 129.51         Avg: 118.90 (2.21)       | ent 0.083
Step   11000 (g21.8+d11.8)s       | [D] min: 0.00       max: 0.33      | [R_te] min: 252.37         max: 360.50         Avg: 315.73 (10.95)      | ent 0.064
Step   12000 (g21.8+d11.8)s       | [D] min: 0.00       max: 0.25      | [R_te] min: 180.83         max: 507.60         Avg: 340.55 (36.25)      | ent 0.048
Step   13000 (g21.8+d11.8)s       | [D] min: 0.00       max: 0.29      | [R_te] min: 275.34         max: 354.45         Avg: 317.44 (9.59)       | ent 0.037
Step   14000 (g21.8+d11.8)s       | [D] min: 0.01       max: 0.40      | [R_te] min: 226.30         max: 369.22         Avg: 312.09 (13.34)      | ent 0.028
Step   15000 (g21.8+d11.8)s       | [D] min: 0.01       max: 0.47      | [R_te] min: 317.52         max: 487.55         Avg: 370.45 (14.86)      | ent 0.022
Step   16000 (g21.9+d11.9)s       | [D] min: 0.01       max: 0.27      | [R_te] min: 347.35         max: 471.32         Avg: 413.00 (14.15)      | ent 0.018
Step   17000 (g21.8+d11.8)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 145.25         max: 179.69         Avg: 156.51 (3.08)       | ent 0.014
Step   18000 (g21.8+d11.9)s       | [D] min: 0.00       max: 0.75      | [R_te] min: 333.30         max: 482.43         Avg: 396.08 (12.70)      | ent 0.011
Step   19000 (g21.8+d11.9)s       | [D] min: 0.00       max: 0.37      | [R_te] min: 300.00         max: 375.59         Avg: 346.91 (5.96)       | ent 0.009
Step   20000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 193.90         max: 344.61         Avg: 227.30 (13.18)      | ent 0.008
Step   21000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.31      | [R_te] min: 310.81         max: 433.84         Avg: 369.82 (11.58)      | ent 0.006
Step   22000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.45      | [R_te] min: 264.66         max: 528.45         Avg: 358.49 (20.79)      | ent 0.005
Step   23000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.44      | [R_te] min: 292.85         max: 523.09         Avg: 404.47 (22.63)      | ent 0.004
Step   24000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.26      | [R_te] min: 294.98         max: 420.28         Avg: 348.04 (12.67)      | ent 0.003
Step   25000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.28      | [R_te] min: 259.04         max: 373.56         Avg: 298.02 (11.42)      | ent 0.003
Step   26000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.35      | [R_te] min: 298.31         max: 415.26         Avg: 360.62 (11.09)      | ent 0.002
Step   27000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 177.92         max: 296.02         Avg: 245.38 (10.23)      | ent 0.002
Step   28000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.46      | [R_te] min: 236.41         max: 298.00         Avg: 261.62 (5.95)       | ent 0.002
Step   29000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.29      | [R_te] min: 206.32         max: 469.11         Avg: 296.62 (21.95)      | ent 0.001
Step   30000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 201.16         max: 274.87         Avg: 253.36 (6.74)       | ent 0.001
Step   31000 (g22.0+d11.9)s       | [D] min: 0.00       max: 0.14      | [R_te] min: 132.81         max: 433.27         Avg: 332.11 (28.02)      | ent 0.001
Step   32000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.22      | [R_te] min: 120.14         max: 244.36         Avg: 169.24 (10.15)      | ent 0.001
Step   33000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 88.66          max: 133.20         Avg: 101.50 (4.57)       | ent 0.001
Step   34000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.24      | [R_te] min: 108.57         max: 232.67         Avg: 188.80 (16.16)      | ent 0.001
Step   35000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.23      | [R_te] min: 232.44         max: 258.48         Avg: 245.85 (2.58)       | ent 0.001
Step   36000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.28      | [R_te] min: 76.03          max: 85.68          Avg: 80.75 (1.23)        | ent 0.001
Step   37000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.29      | [R_te] min: 75.06          max: 85.34          Avg: 81.03 (0.92)        | ent 0.000
Step   38000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 201.35         max: 222.88         Avg: 210.72 (1.79)       | ent 0.000
Step   39000 (g22.0+d12.0)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 71.02          max: 76.30          Avg: 74.55 (0.69)        | ent 0.000
Step   40000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.53      | [R_te] min: 59.75          max: 63.79          Avg: 60.35 (0.37)        | ent 0.000
Step   41000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.51      | [R_te] min: 62.47          max: 65.81          Avg: 63.01 (0.30)        | ent 0.000
Step   42000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.94      | [R_te] min: 60.80          max: 66.16          Avg: 62.43 (0.68)        | ent 0.000
Step   43000 (g21.9+d11.9)s       | [D] min: 0.00       max: 0.88      | [R_te] min: 70.07          max: 70.58          Avg: 70.29 (0.05)        | ent 0.000
Step   44000 (g22.1+d12.0)s       | [D] min: 0.00       max: 0.07      | [R_te] min: 80.65          max: 90.38          Avg: 85.68 (1.02)        | ent 0.000
