Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 0.69       max: 0.78      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000
Step    2000 (g21.1+d11.4)s       | [D] min: 0.03       max: 1.45      | [R_te] min: 155.10         max: 162.88         Avg: 159.33 (0.90)       | ent 0.741
Step    3000 (g21.1+d11.4)s       | [D] min: 0.01       max: 0.26      | [R_te] min: 237.65         max: 269.92         Avg: 256.38 (3.06)       | ent 0.552
Step    4000 (g21.2+d11.5)s       | [D] min: 0.00       max: 0.28      | [R_te] min: 248.33         max: 289.82         Avg: 267.72 (3.42)       | ent 0.416
Step    5000 (g21.2+d11.5)s       | [D] min: 0.00       max: 0.44      | [R_te] min: 268.08         max: 326.18         Avg: 294.33 (6.38)       | ent 0.313
Step    6000 (g21.2+d11.5)s       | [D] min: 0.00       max: 0.34      | [R_te] min: 441.24         max: 961.98         Avg: 583.58 (48.63)      | ent 0.237
Step    7000 (g21.3+d11.5)s       | [D] min: 0.00       max: 0.23      | [R_te] min: 244.78         max: 410.89         Avg: 308.44 (14.88)      | ent 0.182
Step    8000 (g21.3+d11.6)s       | [D] min: 0.00       max: 0.26      | [R_te] min: 92.49          max: 221.07         Avg: 142.03 (14.11)      | ent 0.141
Step    9000 (g21.3+d11.6)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 93.00          max: 216.22         Avg: 146.52 (11.13)      | ent 0.111
Step   10000 (g21.3+d11.6)s       | [D] min: 0.00       max: 0.13      | [R_te] min: 84.11          max: 117.82         Avg: 98.14 (3.89)        | ent 0.088
Step   11000 (g21.4+d11.6)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 270.05         max: 308.07         Avg: 283.88 (3.53)       | ent 0.069
Step   12000 (g21.4+d11.7)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 173.75         max: 416.99         Avg: 339.35 (20.77)      | ent 0.054
Step   13000 (g21.4+d11.7)s       | [D] min: 0.00       max: 0.28      | [R_te] min: 194.82         max: 241.47         Avg: 215.56 (4.56)       | ent 0.042
Step   14000 (g21.4+d11.7)s       | [D] min: 0.00       max: 1.02      | [R_te] min: 180.00         max: 370.51         Avg: 255.56 (22.47)      | ent 0.033
Step   15000 (g21.4+d11.7)s       | [D] min: 0.00       max: 0.51      | [R_te] min: 167.49         max: 294.82         Avg: 222.63 (10.11)      | ent 0.027
Step   16000 (g21.5+d11.7)s       | [D] min: 0.00       max: 0.65      | [R_te] min: 301.36         max: 452.96         Avg: 346.77 (13.13)      | ent 0.023
Step   17000 (g21.4+d11.7)s       | [D] min: 0.00       max: 0.26      | [R_te] min: 293.37         max: 354.73         Avg: 319.57 (6.05)       | ent 0.020
Step   18000 (g21.5+d11.7)s       | [D] min: 0.00       max: 0.87      | [R_te] min: 332.32         max: 407.49         Avg: 368.48 (8.05)       | ent 0.016
Step   19000 (g21.5+d11.7)s       | [D] min: 0.00       max: 0.30      | [R_te] min: 346.63         max: 513.06         Avg: 407.61 (19.27)      | ent 0.013
Step   20000 (g21.4+d11.7)s       | [D] min: 0.00       max: 0.33      | [R_te] min: 304.45         max: 496.39         Avg: 358.36 (18.66)      | ent 0.011
Step   21000 (g21.5+d11.7)s       | [D] min: 0.00       max: 0.17      | [R_te] min: 359.38         max: 720.80         Avg: 462.44 (33.93)      | ent 0.009
Step   22000 (g21.5+d11.7)s       | [D] min: 0.00       max: 0.67      | [R_te] min: 246.70         max: 318.83         Avg: 281.04 (6.06)       | ent 0.008
Step   23000 (g21.5+d11.7)s       | [D] min: 0.00       max: 0.46      | [R_te] min: 227.73         max: 517.36         Avg: 377.13 (25.31)      | ent 0.007
Step   24000 (g22.0+d12.0)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 352.05         max: 739.16         Avg: 492.83 (32.82)      | ent 0.006
Step   25000 (g27.0+d14.6)s       | [D] min: 0.00       max: 0.43      | [R_te] min: 282.53         max: 586.07         Avg: 430.48 (31.84)      | ent 0.005
