Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 2.11       max: 3.26      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000 | w_noise: [0.36798 0.36799 0.36796 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.5+d67.5)s       | [D] min: 0.00       max: 3.54      | [R_te] min: 164.79         max: 168.27         Avg: 166.76 (0.33)       | ent 0.741 | w_noise: [0.34423 0.35081 0.35267 0.37622 0.40468 0.43565 0.44108 0.44853 0.45162 0.45361]
Step    3000 (g21.6+d67.6)s       | [D] min: 0.05       max: 1.13      | [R_te] min: 253.67         max: 287.47         Avg: 272.09 (3.26)       | ent 0.553 | w_noise: [0.24693 0.26099 0.26327 0.28680 0.34499 0.42650 0.45853 0.48584 0.49855 0.51119]
Step    4000 (g21.6+d67.6)s       | [D] min: 0.10       max: 2.58      | [R_te] min: 241.74         max: 277.45         Avg: 260.83 (3.26)       | ent 0.417 | w_noise: [0.17671 0.18969 0.19182 0.21106 0.27209 0.38076 0.44576 0.50219 0.53354 0.56390]
Step    5000 (g21.6+d67.6)s       | [D] min: 0.13       max: 2.30      | [R_te] min: 227.06         max: 265.05         Avg: 246.10 (3.88)       | ent 0.314 | w_noise: [0.12814 0.13832 0.14066 0.15732 0.21536 0.32910 0.41560 0.49674 0.54919 0.60642]
Step    6000 (g21.6+d67.7)s       | [D] min: 0.12       max: 2.36      | [R_te] min: 94.69          max: 103.16         Avg: 100.45 (0.72)       | ent 0.239 | w_noise: [0.09384 0.10238 0.10439 0.11972 0.17412 0.28778 0.38158 0.47674 0.54689 0.62986]
Step    7000 (g21.7+d67.8)s       | [D] min: 0.16       max: 1.98      | [R_te] min: 114.47         max: 300.18         Avg: 195.76 (21.53)      | ent 0.184 | w_noise: [0.06949 0.07628 0.07824 0.09341 0.14668 0.25987 0.35316 0.45105 0.53255 0.63493]
Step    8000 (g21.6+d67.7)s       | [D] min: 0.00       max: 2.48      | [R_te] min: 171.35         max: 261.58         Avg: 213.53 (9.33)       | ent 0.142 | w_noise: [0.05220 0.05758 0.05959 0.07539 0.12964 0.24258 0.33324 0.43164 0.51596 0.62932]
Step    9000 (g21.7+d67.9)s       | [D] min: 0.09       max: 1.54      | [R_te] min: 111.03         max: 379.84         Avg: 220.22 (25.93)      | ent 0.111 | w_noise: [0.03959 0.04390 0.04612 0.06407 0.11994 0.23291 0.32093 0.42037 0.50296 0.61926]
Step   10000 (g21.6+d67.8)s       | [D] min: 0.01       max: 1.46      | [R_te] min: 145.47         max: 355.13         Avg: 224.79 (23.07)      | ent 0.087 | w_noise: [0.03061 0.03404 0.03647 0.05793 0.11497 0.22909 0.31375 0.41319 0.49578 0.61360]
Step   11000 (g21.8+d68.0)s       | [D] min: 0.11       max: 1.38      | [R_te] min: 281.70         max: 360.50         Avg: 320.10 (6.89)       | ent 0.067 | w_noise: [0.02431 0.02715 0.03007 0.05553 0.11297 0.22801 0.31100 0.41047 0.49265 0.61056]
Step   12000 (g21.7+d67.9)s       | [D] min: 0.10       max: 1.93      | [R_te] min: 240.04         max: 331.67         Avg: 275.54 (10.11)      | ent 0.052 | w_noise: [0.02009 0.02238 0.02610 0.05524 0.11319 0.22945 0.31183 0.41238 0.49390 0.61048]
Step   13000 (g21.8+d68.0)s       | [D] min: 0.09       max: 1.69      | [R_te] min: 229.40         max: 395.09         Avg: 320.32 (16.72)      | ent 0.041 | w_noise: [0.01757 0.01957 0.02431 0.05626 0.11491 0.23276 0.31463 0.41524 0.49671 0.61327]
Step   14000 (g21.7+d68.0)s       | [D] min: 0.06       max: 1.71      | [R_te] min: 152.69         max: 223.72         Avg: 194.64 (7.49)       | ent 0.033 | w_noise: [0.01649 0.01818 0.02380 0.05780 0.11770 0.23797 0.32058 0.42068 0.50384 0.62124]
Step   15000 (g21.8+d68.1)s       | [D] min: 0.06       max: 1.23      | [R_te] min: 258.89         max: 313.10         Avg: 272.83 (4.70)       | ent 0.027 | w_noise: [0.01624 0.01780 0.02401 0.05994 0.12058 0.24214 0.32464 0.42709 0.51065 0.62858]
Step   16000 (g21.8+d67.9)s       | [D] min: 0.12       max: 1.84      | [R_te] min: 212.89         max: 329.79         Avg: 295.32 (10.83)      | ent 0.023 | w_noise: [0.01651 0.01794 0.02470 0.06190 0.12385 0.24708 0.33063 0.43434 0.51841 0.63849]
Step   17000 (g21.8+d68.2)s       | [D] min: 0.09       max: 1.48      | [R_te] min: 179.33         max: 351.27         Avg: 282.96 (16.63)      | ent 0.021 | w_noise: [0.01671 0.01814 0.02520 0.06311 0.12621 0.25100 0.33531 0.43874 0.52246 0.64624]
Step   18000 (g21.8+d68.0)s       | [D] min: 0.04       max: 1.54      | [R_te] min: 224.45         max: 360.80         Avg: 319.03 (11.59)      | ent 0.019 | w_noise: [0.01678 0.01820 0.02547 0.06376 0.12759 0.25191 0.33663 0.44090 0.52628 0.64918]
Step   19000 (g21.8+d68.1)s       | [D] min: 0.08       max: 2.57      | [R_te] min: 259.53         max: 616.81         Avg: 387.23 (28.02)      | ent 0.015 | w_noise: [0.01664 0.01808 0.02542 0.06358 0.12736 0.25119 0.33764 0.43930 0.52637 0.64932]
Step   20000 (g21.8+d68.0)s       | [D] min: 0.03       max: 1.63      | [R_te] min: 326.86         max: 542.47         Avg: 418.04 (21.23)      | ent 0.013 | w_noise: [0.01635 0.01785 0.02515 0.06296 0.12667 0.24982 0.33656 0.43837 0.52433 0.64620]
Step   21000 (g21.8+d68.1)s       | [D] min: 0.08       max: 3.14      | [R_te] min: 291.75         max: 383.76         Avg: 324.05 (8.33)       | ent 0.011 | w_noise: [0.01630 0.01766 0.02520 0.06315 0.12692 0.25062 0.33575 0.43966 0.52483 0.64500]
Step   22000 (g21.9+d68.1)s       | [D] min: 0.08       max: 2.15      | [R_te] min: 298.56         max: 387.37         Avg: 337.90 (9.94)       | ent 0.010 | w_noise: [0.01625 0.01765 0.02519 0.06303 0.12731 0.25087 0.33558 0.43969 0.52514 0.64722]
Step   23000 (g21.9+d68.2)s       | [D] min: 0.09       max: 1.68      | [R_te] min: 274.38         max: 450.81         Avg: 336.26 (16.88)      | ent 0.009 | w_noise: [0.01636 0.01784 0.02529 0.06370 0.12843 0.25280 0.33656 0.44058 0.52726 0.64969]
Step   24000 (g21.8+d68.1)s       | [D] min: 0.08       max: 2.19      | [R_te] min: 303.74         max: 605.35         Avg: 394.66 (25.55)      | ent 0.008 | w_noise: [0.01641 0.01782 0.02526 0.06374 0.12826 0.25346 0.33779 0.44198 0.52806 0.64873]
Step   25000 (g21.9+d68.1)s       | [D] min: 0.05       max: 1.50      | [R_te] min: 286.94         max: 591.55         Avg: 433.17 (26.86)      | ent 0.007 | w_noise: [0.01633 0.01776 0.02513 0.06372 0.12826 0.25263 0.33853 0.44025 0.52874 0.64937]
Step   26000 (g21.9+d68.1)s       | [D] min: 0.07       max: 1.55      | [R_te] min: 349.19         max: 651.65         Avg: 454.55 (28.39)      | ent 0.006 | w_noise: [0.01634 0.01772 0.02509 0.06379 0.12801 0.25346 0.33792 0.44041 0.52802 0.65133]
Step   27000 (g21.9+d68.1)s       | [D] min: 0.02       max: 1.25      | [R_te] min: 326.93         max: 490.47         Avg: 386.60 (18.60)      | ent 0.005 | w_noise: [0.01599 0.01744 0.02466 0.06295 0.12658 0.25072 0.33668 0.43831 0.52427 0.64725]
Step   28000 (g21.9+d68.1)s       | [D] min: 0.04       max: 1.52      | [R_te] min: 325.01         max: 478.61         Avg: 406.77 (16.19)      | ent 0.004 | w_noise: [0.01571 0.01734 0.02438 0.06250 0.12596 0.25064 0.33576 0.43900 0.52382 0.64687]
Step   29000 (g21.8+d68.1)s       | [D] min: 0.06       max: 2.24      | [R_te] min: 308.66         max: 449.77         Avg: 355.62 (12.80)      | ent 0.003 | w_noise: [0.01579 0.01733 0.02440 0.06265 0.12667 0.25168 0.33666 0.43826 0.52523 0.64800]
Step   30000 (g21.9+d68.2)s       | [D] min: 0.11       max: 1.66      | [R_te] min: 325.96         max: 458.64         Avg: 368.43 (13.19)      | ent 0.002 | w_noise: [0.01570 0.01717 0.02436 0.06235 0.12677 0.25146 0.33725 0.43973 0.52803 0.64826]
Step   31000 (g21.9+d68.1)s       | [D] min: 0.00       max: 1.96      | [R_te] min: 305.70         max: 459.35         Avg: 371.64 (12.91)      | ent 0.002 | w_noise: [0.01563 0.01709 0.02424 0.06247 0.12637 0.25126 0.33727 0.44028 0.52701 0.64795]
Step   32000 (g21.9+d68.1)s       | [D] min: 0.07       max: 1.49      | [R_te] min: 270.07         max: 534.84         Avg: 397.93 (25.47)      | ent 0.002 | w_noise: [0.01559 0.01701 0.02416 0.06241 0.12633 0.25206 0.33728 0.44070 0.52660 0.64966]
Step   33000 (g21.9+d68.1)s       | [D] min: 0.10       max: 1.77      | [R_te] min: 330.99         max: 606.76         Avg: 441.06 (24.33)      | ent 0.002 | w_noise: [0.01559 0.01696 0.02420 0.06232 0.12712 0.25171 0.33767 0.43943 0.52712 0.65003]
Step   34000 (g22.0+d68.3)s       | [D] min: 0.09       max: 1.68      | [R_te] min: 289.93         max: 514.76         Avg: 365.34 (17.33)      | ent 0.001 | w_noise: [0.01553 0.01693 0.02424 0.06266 0.12734 0.25255 0.33796 0.44109 0.52762 0.65005]
Step   35000 (g21.9+d68.2)s       | [D] min: 0.10       max: 3.09      | [R_te] min: 302.70         max: 492.11         Avg: 385.90 (18.52)      | ent 0.001 | w_noise: [0.01550 0.01693 0.02420 0.06253 0.12720 0.25274 0.33752 0.44298 0.52988 0.65106]
Step   36000 (g21.9+d68.1)s       | [D] min: 0.08       max: 1.83      | [R_te] min: 310.70         max: 339.61         Avg: 323.03 (3.28)       | ent 0.001 | w_noise: [0.01539 0.01684 0.02402 0.06236 0.12699 0.25262 0.33696 0.44234 0.52979 0.64943]
Step   37000 (g21.8+d68.1)s       | [D] min: 0.10       max: 1.90      | [R_te] min: 301.28         max: 383.75         Avg: 326.04 (7.76)       | ent 0.002 | w_noise: [0.01520 0.01673 0.02389 0.06203 0.12686 0.25192 0.33772 0.44247 0.52909 0.65029]
Step   38000 (g22.0+d68.3)s       | [D] min: 0.07       max: 2.23      | [R_te] min: 245.52         max: 274.35         Avg: 261.93 (2.91)       | ent 0.002 | w_noise: [0.01502 0.01657 0.02378 0.06196 0.12691 0.25325 0.33818 0.44177 0.53020 0.65188]
Step   39000 (g21.9+d68.1)s       | [D] min: 0.12       max: 1.93      | [R_te] min: 201.73         max: 277.67         Avg: 226.22 (6.57)       | ent 0.002 | w_noise: [0.01498 0.01653 0.02373 0.06206 0.12712 0.25418 0.33908 0.44373 0.53082 0.65107]
Step   40000 (g21.9+d68.2)s       | [D] min: 0.05       max: 2.00      | [R_te] min: 186.53         max: 292.89         Avg: 219.97 (9.29)       | ent 0.002 | w_noise: [0.01497 0.01656 0.02371 0.06223 0.12757 0.25456 0.33960 0.44474 0.53179 0.65352]
Step   41000 (g21.9+d68.1)s       | [D] min: 0.00       max: 1.87      | [R_te] min: 261.09         max: 304.02         Avg: 278.77 (4.03)       | ent 0.002 | w_noise: [0.01488 0.01647 0.02369 0.06209 0.12764 0.25467 0.34091 0.44482 0.53196 0.65525]
Step   42000 (g21.9+d68.3)s       | [D] min: 0.05       max: 1.64      | [R_te] min: 327.99         max: 408.48         Avg: 369.62 (6.59)       | ent 0.002 | w_noise: [0.01487 0.01646 0.02378 0.06233 0.12749 0.25524 0.34133 0.44688 0.53273 0.65703]
Step   43000 (g22.1+d68.4)s       | [D] min: 0.10       max: 2.61      | [R_te] min: 299.75         max: 358.67         Avg: 331.08 (5.22)       | ent 0.002 | w_noise: [0.01491 0.01642 0.02378 0.06270 0.12757 0.25535 0.34144 0.44686 0.53401 0.65508]
Step   44000 (g21.9+d68.3)s       | [D] min: 0.11       max: 1.71      | [R_te] min: 310.65         max: 419.49         Avg: 355.45 (11.58)      | ent 0.002 | w_noise: [0.01486 0.01649 0.02388 0.06269 0.12827 0.25561 0.34218 0.44770 0.53548 0.65685]
Step   45000 (g21.9+d68.4)s       | [D] min: 0.00       max: 1.68      | [R_te] min: 317.34         max: 448.71         Avg: 364.64 (12.21)      | ent 0.002 | w_noise: [0.01485 0.01643 0.02379 0.06287 0.12830 0.25602 0.34299 0.44738 0.53672 0.65694]
Step   46000 (g22.0+d68.4)s       | [D] min: 0.11       max: 1.84      | [R_te] min: 265.11         max: 421.59         Avg: 336.72 (16.36)      | ent 0.002 | w_noise: [0.01488 0.01643 0.02371 0.06263 0.12793 0.25672 0.34386 0.44766 0.53667 0.65857]
Step   47000 (g22.0+d68.5)s       | [D] min: 0.13       max: 2.10      | [R_te] min: 319.85         max: 396.47         Avg: 359.74 (6.97)       | ent 0.002 | w_noise: [0.01477 0.01629 0.02360 0.06253 0.12781 0.25691 0.34293 0.44861 0.53550 0.65901]
Step   48000 (g22.0+d68.3)s       | [D] min: 0.16       max: 1.73      | [R_te] min: 294.64         max: 398.54         Avg: 343.46 (9.33)       | ent 0.002 | w_noise: [0.01485 0.01637 0.02372 0.06270 0.12838 0.25813 0.34287 0.44828 0.53591 0.65767]
Step   49000 (g21.9+d68.2)s       | [D] min: 0.01       max: 1.78      | [R_te] min: 404.50         max: 658.95         Avg: 504.43 (24.02)      | ent 0.002 | w_noise: [0.01491 0.01643 0.02387 0.06288 0.12896 0.25813 0.34316 0.44983 0.53694 0.65890]
Step   50000 (g21.9+d68.3)s       | [D] min: 0.13       max: 2.01      | [R_te] min: 309.98         max: 499.57         Avg: 417.25 (17.98)      | ent 0.002 | w_noise: [0.01475 0.01626 0.02367 0.06270 0.12851 0.25716 0.34220 0.44831 0.53604 0.65986]
Step   51000 (g21.9+d68.2)s       | [D] min: 0.07       max: 1.78      | [R_te] min: 308.79         max: 441.23         Avg: 360.58 (11.64)      | ent 0.002 | w_noise: [0.01468 0.01620 0.02365 0.06260 0.12877 0.25674 0.34368 0.44844 0.53495 0.66000]
Step   52000 (g22.0+d68.4)s       | [D] min: 0.06       max: 2.93      | [R_te] min: 377.79         max: 485.52         Avg: 424.83 (10.17)      | ent 0.002 | w_noise: [0.01459 0.01611 0.02346 0.06259 0.12858 0.25581 0.34267 0.44893 0.53340 0.65868]
