Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 287.09         max: 324.06         Avg: 307.72 (3.37)       | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.1)s         | [D] min: 1.91       max: 3.37      | [R_te] min: 286.19         max: 325.62         Avg: 309.26 (4.45)       | ent 1.000 | w_noise: [0.36796 0.36794 0.36793 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.5+d68.7)s       | [D] min: 0.01       max: 1.67      | [R_te] min: 141.19         max: 148.69         Avg: 145.55 (0.68)       | ent 0.741 | w_noise: [0.34174 0.34533 0.34904 0.37396 0.40233 0.43494 0.44178 0.44964 0.45094 0.45399]
Step    3000 (g21.5+d68.7)s       | [D] min: 0.02       max: 1.94      | [R_te] min: 200.57         max: 216.68         Avg: 208.07 (1.24)       | ent 0.553 | w_noise: [0.24443 0.25681 0.26012 0.28366 0.34144 0.42557 0.45834 0.48670 0.49806 0.51345]
Step    4000 (g21.5+d68.7)s       | [D] min: 0.08       max: 1.21      | [R_te] min: 275.52         max: 319.80         Avg: 291.54 (4.18)       | ent 0.416 | w_noise: [0.17535 0.18636 0.19001 0.20966 0.26941 0.37956 0.44554 0.50423 0.53341 0.56739]
Step    5000 (g21.6+d68.9)s       | [D] min: 0.09       max: 3.76      | [R_te] min: 248.30         max: 279.23         Avg: 261.69 (3.75)       | ent 0.313 | w_noise: [0.12710 0.13626 0.13938 0.15601 0.21355 0.32837 0.41458 0.49904 0.54914 0.60858]
Step    6000 (g21.6+d68.9)s       | [D] min: 0.10       max: 1.40      | [R_te] min: 278.15         max: 338.82         Avg: 312.56 (5.49)       | ent 0.238 | w_noise: [0.09304 0.10087 0.10330 0.11883 0.17306 0.28741 0.38084 0.47770 0.54786 0.63139]
Step    7000 (g21.6+d68.9)s       | [D] min: 0.11       max: 1.80      | [R_te] min: 249.34         max: 278.76         Avg: 266.47 (2.76)       | ent 0.182 | w_noise: [0.06903 0.07502 0.07746 0.09263 0.14587 0.25954 0.35419 0.45240 0.53166 0.63580]
Step    8000 (g21.6+d69.1)s       | [D] min: 0.13       max: 1.50      | [R_te] min: 99.60          max: 201.60         Avg: 138.37 (12.02)      | ent 0.141 | w_noise: [0.05179 0.05649 0.05881 0.07499 0.12887 0.24290 0.33324 0.43301 0.51584 0.62887]
Step    9000 (g21.6+d68.9)s       | [D] min: 0.09       max: 1.72      | [R_te] min: 70.73          max: 79.28          Avg: 76.36 (0.85)        | ent 0.110 | w_noise: [0.03937 0.04308 0.04549 0.06380 0.11924 0.23340 0.32066 0.41832 0.50372 0.62139]
Step   10000 (g21.6+d69.1)s       | [D] min: 0.11       max: 2.17      | [R_te] min: 73.14          max: 76.18          Avg: 74.21 (0.40)        | ent 0.086 | w_noise: [0.03042 0.03347 0.03616 0.05776 0.11463 0.22912 0.31395 0.41164 0.49572 0.61519]
Step   11000 (g21.7+d69.1)s       | [D] min: 0.04       max: 1.73      | [R_te] min: 325.00         max: 810.69         Avg: 547.70 (42.43)      | ent 0.066 | w_noise: [0.02419 0.02669 0.02989 0.05566 0.11336 0.22802 0.31158 0.40864 0.49243 0.61305]
Step   12000 (g21.7+d69.2)s       | [D] min: 0.07       max: 1.54      | [R_te] min: 335.00         max: 399.91         Avg: 371.22 (5.43)       | ent 0.051 | w_noise: [0.02000 0.02207 0.02600 0.05528 0.11358 0.22890 0.31163 0.41089 0.49298 0.61428]
Step   13000 (g21.8+d69.2)s       | [D] min: 0.13       max: 1.74      | [R_te] min: 251.50         max: 304.08         Avg: 275.26 (4.80)       | ent 0.040 | w_noise: [0.01753 0.01936 0.02413 0.05620 0.11472 0.23277 0.31423 0.41491 0.49647 0.61511]
Step   14000 (g21.7+d69.2)s       | [D] min: 0.05       max: 1.08      | [R_te] min: 285.82         max: 335.43         Avg: 314.95 (5.23)       | ent 0.032 | w_noise: [0.01628 0.01804 0.02363 0.05789 0.11698 0.23686 0.31843 0.41960 0.50193 0.62094]
Step   15000 (g21.8+d69.3)s       | [D] min: 0.00       max: 1.56      | [R_te] min: 237.72         max: 653.19         Avg: 335.07 (37.09)      | ent 0.026 | w_noise: [0.01601 0.01753 0.02385 0.05982 0.12012 0.24136 0.32481 0.42604 0.51034 0.62931]
Step   16000 (g21.8+d69.3)s       | [D] min: 0.00       max: 1.62      | [R_te] min: 265.61         max: 406.85         Avg: 317.35 (13.60)      | ent 0.021 | w_noise: [0.01610 0.01762 0.02436 0.06149 0.12324 0.24640 0.32879 0.43271 0.51763 0.63753]
Step   17000 (g21.8+d69.3)s       | [D] min: 0.04       max: 2.00      | [R_te] min: 351.45         max: 541.79         Avg: 432.67 (20.63)      | ent 0.018 | w_noise: [0.01587 0.01739 0.02434 0.06162 0.12378 0.24689 0.32911 0.43320 0.51762 0.63943]
Step   18000 (g21.8+d69.3)s       | [D] min: 0.07       max: 1.60      | [R_te] min: 282.53         max: 518.78         Avg: 385.83 (23.83)      | ent 0.014 | w_noise: [0.01582 0.01734 0.02433 0.06187 0.12417 0.24702 0.33179 0.43334 0.51759 0.64062]
Step   19000 (g21.8+d69.3)s       | [D] min: 0.08       max: 1.61      | [R_te] min: 266.26         max: 581.79         Avg: 399.72 (29.78)      | ent 0.012 | w_noise: [0.01594 0.01742 0.02466 0.06232 0.12490 0.24875 0.33376 0.43437 0.51863 0.64278]
Step   20000 (g21.8+d69.3)s       | [D] min: 0.08       max: 1.60      | [R_te] min: 303.06         max: 554.30         Avg: 403.33 (24.03)      | ent 0.010 | w_noise: [0.01616 0.01754 0.02486 0.06306 0.12587 0.25084 0.33525 0.43696 0.52165 0.64535]
Step   21000 (g21.8+d69.3)s       | [D] min: 0.06       max: 2.53      | [R_te] min: 273.93         max: 517.43         Avg: 342.96 (22.74)      | ent 0.009 | w_noise: [0.01634 0.01776 0.02511 0.06350 0.12729 0.25144 0.33529 0.43913 0.52604 0.64715]
Step   22000 (g21.8+d69.3)s       | [D] min: 0.07       max: 2.95      | [R_te] min: 331.05         max: 623.36         Avg: 455.07 (31.87)      | ent 0.007 | w_noise: [0.01643 0.01774 0.02513 0.06377 0.12780 0.25216 0.33606 0.43955 0.52539 0.64946]
Step   23000 (g21.8+d69.3)s       | [D] min: 0.07       max: 1.85      | [R_te] min: 257.39         max: 443.38         Avg: 314.58 (17.92)      | ent 0.006 | w_noise: [0.01639 0.01778 0.02513 0.06374 0.12804 0.25270 0.33772 0.44196 0.52726 0.64945]
Step   24000 (g21.8+d69.3)s       | [D] min: 0.09       max: 2.02      | [R_te] min: 350.72         max: 484.30         Avg: 411.44 (11.56)      | ent 0.006 | w_noise: [0.01634 0.01777 0.02514 0.06388 0.12849 0.25334 0.33717 0.44209 0.52810 0.65016]
Step   25000 (g21.8+d69.3)s       | [D] min: 0.13       max: 1.45      | [R_te] min: 331.77         max: 388.22         Avg: 357.35 (5.57)       | ent 0.005 | w_noise: [0.01621 0.01770 0.02524 0.06398 0.12846 0.25385 0.33722 0.44174 0.52898 0.64898]
Step   26000 (g21.8+d69.3)s       | [D] min: 0.04       max: 1.72      | [R_te] min: 303.11         max: 526.65         Avg: 375.28 (18.50)      | ent 0.005 | w_noise: [0.01615 0.01763 0.02515 0.06390 0.12831 0.25425 0.33821 0.44203 0.52973 0.64648]
Step   27000 (g21.8+d69.3)s       | [D] min: 0.05       max: 2.29      | [R_te] min: 301.18         max: 413.01         Avg: 332.71 (11.23)      | ent 0.004 | w_noise: [0.01603 0.01757 0.02512 0.06397 0.12847 0.25330 0.33827 0.44289 0.52885 0.64632]
Step   28000 (g21.8+d69.3)s       | [D] min: 0.02       max: 1.64      | [R_te] min: 261.74         max: 348.53         Avg: 304.19 (6.96)       | ent 0.003 | w_noise: [0.01581 0.01740 0.02485 0.06355 0.12771 0.25278 0.33696 0.44155 0.52829 0.64648]
Step   29000 (g21.8+d69.3)s       | [D] min: 0.07       max: 2.33      | [R_te] min: 324.96         max: 418.74         Avg: 376.19 (10.47)      | ent 0.003 | w_noise: [0.01553 0.01708 0.02446 0.06275 0.12680 0.25187 0.33591 0.43927 0.52625 0.64407]
Step   30000 (g21.8+d69.3)s       | [D] min: 0.02       max: 1.80      | [R_te] min: 322.58         max: 388.42         Avg: 359.26 (7.03)       | ent 0.003 | w_noise: [0.01549 0.01705 0.02443 0.06280 0.12721 0.25162 0.33708 0.43910 0.52622 0.64535]
Step   31000 (g21.8+d69.3)s       | [D] min: 0.06       max: 2.30      | [R_te] min: 268.60         max: 373.79         Avg: 334.05 (9.86)       | ent 0.002 | w_noise: [0.01546 0.01695 0.02436 0.06255 0.12698 0.25197 0.33826 0.43985 0.52580 0.64497]
Step   32000 (g21.8+d69.4)s       | [D] min: 0.04       max: 2.01      | [R_te] min: 318.44         max: 501.34         Avg: 365.20 (16.38)      | ent 0.002 | w_noise: [0.01540 0.01694 0.02426 0.06271 0.12702 0.25255 0.33829 0.43962 0.52679 0.64577]
Step   33000 (g21.8+d69.4)s       | [D] min: 0.05       max: 1.57      | [R_te] min: 316.62         max: 569.86         Avg: 385.98 (21.94)      | ent 0.002 | w_noise: [0.01540 0.01692 0.02440 0.06290 0.12676 0.25364 0.33876 0.44058 0.52707 0.64831]
Step   34000 (g21.8+d69.4)s       | [D] min: 0.07       max: 2.81      | [R_te] min: 395.51         max: 610.97         Avg: 520.61 (21.95)      | ent 0.002 | w_noise: [0.01532 0.01691 0.02428 0.06282 0.12663 0.25327 0.33849 0.44171 0.52718 0.64868]
Step   35000 (g21.9+d69.4)s       | [D] min: 0.07       max: 2.63      | [R_te] min: 207.12         max: 352.14         Avg: 241.80 (13.69)      | ent 0.002 | w_noise: [0.01532 0.01692 0.02429 0.06283 0.12679 0.25343 0.33893 0.44073 0.52849 0.65016]
Step   36000 (g21.8+d69.4)s       | [D] min: 0.05       max: 1.70      | [R_te] min: 288.51         max: 507.06         Avg: 388.20 (18.06)      | ent 0.002 | w_noise: [0.01525 0.01682 0.02431 0.06278 0.12685 0.25294 0.33769 0.44106 0.53039 0.64994]
Step   37000 (g21.8+d69.2)s       | [D] min: 0.05       max: 1.39      | [R_te] min: 291.05         max: 450.15         Avg: 359.81 (15.87)      | ent 0.002 | w_noise: [0.01517 0.01669 0.02415 0.06259 0.12686 0.25270 0.33856 0.44013 0.53024 0.64936]
