Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 247.96         max: 286.27         Avg: 272.45 (4.15)       | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 1.92       max: 4.36      | [R_te] min: 196.92         max: 294.02         Avg: 268.81 (8.39)       | ent 1.000 | w_noise: [0.36795 0.36798 0.36796 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g25.0+d79.4)s       | [D] min: 0.08       max: 1.56      | [R_te] min: 120.67         max: 128.48         Avg: 124.04 (0.99)       | ent 0.741 | w_noise: [0.36474 0.37004 0.37939 0.41883 0.43664 0.45092 0.45872 0.46174 0.46304 0.46722]
Step    3000 (g27.1+d85.8)s       | [D] min: 0.12       max: 1.56      | [R_te] min: 270.15         max: 295.05         Avg: 282.82 (2.73)       | ent 0.552 | w_noise: [0.26874 0.27471 0.29069 0.35941 0.42577 0.49147 0.52588 0.54057 0.55008 0.56497]
Step    4000 (g24.8+d78.3)s       | [D] min: 0.12       max: 2.18      | [R_te] min: 233.99         max: 266.89         Avg: 251.48 (2.91)       | ent 0.416 | w_noise: [0.19406 0.19964 0.21353 0.28249 0.37846 0.50741 0.58461 0.61584 0.63965 0.67022]
Step    5000 (g27.3+d86.7)s       | [D] min: 0.13       max: 2.32      | [R_te] min: 220.51         max: 235.60         Avg: 228.51 (1.31)       | ent 0.314 | w_noise: [0.14116 0.14551 0.15811 0.22195 0.32657 0.50186 0.62694 0.68316 0.72759 0.78119]
Step    6000 (g27.2+d86.4)s       | [D] min: 0.22       max: 1.91      | [R_te] min: 228.02         max: 313.50         Avg: 274.94 (11.51)      | ent 0.239 | w_noise: [0.10358 0.10726 0.11876 0.17800 0.28564 0.48213 0.64699 0.73437 0.80302 0.88907]
Step    7000 (g27.1+d86.0)s       | [D] min: 0.18       max: 1.80      | [R_te] min: 291.72         max: 324.35         Avg: 312.65 (3.17)       | ent 0.183 | w_noise: [0.07688 0.08047 0.09081 0.14935 0.25659 0.45911 0.64666 0.76634 0.86024 0.98684]
Step    8000 (g27.1+d86.4)s       | [D] min: 0.14       max: 2.09      | [R_te] min: 261.42         max: 312.25         Avg: 286.33 (4.71)       | ent 0.141 | w_noise: [0.05744 0.06078 0.07135 0.13069 0.23895 0.43999 0.63768 0.77893 0.89673 1.06563]
Step    9000 (g27.3+d86.4)s       | [D] min: 0.11       max: 2.00      | [R_te] min: 174.84         max: 260.80         Avg: 220.42 (7.82)       | ent 0.109 | w_noise: [0.04367 0.04665 0.05795 0.12059 0.22860 0.42584 0.62747 0.78130 0.91152 1.12097]
Step   10000 (g27.3+d86.5)s       | [D] min: 0.15       max: 1.87      | [R_te] min: 103.27         max: 218.59         Avg: 118.96 (10.54)      | ent 0.086 | w_noise: [0.03368 0.03661 0.04966 0.11549 0.22304 0.41812 0.61915 0.77857 0.91394 1.15544]
Step   11000 (g27.2+d86.2)s       | [D] min: 0.12       max: 1.90      | [R_te] min: 115.30         max: 129.19         Avg: 119.78 (1.14)       | ent 0.066 | w_noise: [0.02645 0.02972 0.04494 0.11333 0.21976 0.41336 0.61508 0.77715 0.91856 1.17415]
Step   12000 (g27.3+d86.6)s       | [D] min: 0.18       max: 2.08      | [R_te] min: 333.19         max: 704.75         Avg: 428.44 (35.54)      | ent 0.050 | w_noise: [0.02147 0.02542 0.04322 0.11395 0.22078 0.41341 0.61538 0.77858 0.92304 1.18767]
Step   13000 (g27.2+d86.1)s       | [D] min: 0.15       max: 2.19      | [R_te] min: 216.64         max: 285.72         Avg: 249.50 (6.88)       | ent 0.039 | w_noise: [0.01831 0.02311 0.04322 0.11590 0.22280 0.41794 0.61922 0.78319 0.93250 1.19726]
Step   14000 (g25.5+d80.7)s       | [D] min: 0.15       max: 1.51      | [R_te] min: 254.81         max: 389.47         Avg: 306.12 (11.87)      | ent 0.030 | w_noise: [0.01667 0.02246 0.04432 0.11773 0.22733 0.42388 0.62649 0.78941 0.94095 1.20604]
Step   15000 (g25.3+d80.1)s       | [D] min: 0.17       max: 3.17      | [R_te] min: 282.79         max: 427.31         Avg: 342.29 (14.22)      | ent 0.024 | w_noise: [0.01600 0.02269 0.04579 0.12098 0.23254 0.43079 0.63246 0.79948 0.95172 1.22294]
Step   16000 (g25.8+d81.3)s       | [D] min: 0.11       max: 1.67      | [R_te] min: 252.54         max: 338.72         Avg: 312.12 (7.67)       | ent 0.019 | w_noise: [0.01582 0.02310 0.04705 0.12404 0.23718 0.43678 0.63956 0.80843 0.95820 1.23800]
Step   17000 (g27.3+d86.3)s       | [D] min: 0.16       max: 2.45      | [R_te] min: 333.05         max: 594.11         Avg: 414.74 (26.29)      | ent 0.016 | w_noise: [0.01577 0.02341 0.04782 0.12567 0.23963 0.43923 0.64281 0.81458 0.96541 1.24639]
Step   18000 (g26.9+d85.2)s       | [D] min: 0.11       max: 2.48      | [R_te] min: 221.07         max: 329.21         Avg: 282.56 (9.96)       | ent 0.014 | w_noise: [0.01572 0.02368 0.04831 0.12693 0.24130 0.44324 0.64686 0.81960 0.97111 1.25059]
Step   19000 (g26.2+d83.1)s       | [D] min: 0.13       max: 1.97      | [R_te] min: 242.92         max: 350.59         Avg: 288.49 (11.61)      | ent 0.012 | w_noise: [0.01587 0.02406 0.04910 0.12859 0.24426 0.44678 0.65379 0.82349 0.97447 1.25953]
Step   20000 (g21.7+d67.7)s       | [D] min: 0.04       max: 1.64      | [R_te] min: 187.56         max: 240.68         Avg: 220.22 (5.26)       | ent 0.011 | w_noise: [0.01593 0.02428 0.04950 0.12940 0.24525 0.44662 0.65618 0.82732 0.98115 1.26061]
Step   21000 (g26.2+d82.5)s       | [D] min: 0.11       max: 1.54      | [R_te] min: 270.67         max: 467.33         Avg: 319.59 (17.94)      | ent 0.009 | w_noise: [0.01594 0.02430 0.04977 0.12942 0.24520 0.44700 0.65522 0.82766 0.98112 1.26141]
Step   22000 (g27.5+d86.5)s       | [D] min: 0.12       max: 2.81      | [R_te] min: 289.94         max: 403.77         Avg: 342.13 (10.70)      | ent 0.008 | w_noise: [0.01594 0.02441 0.05007 0.13027 0.24576 0.44965 0.65729 0.82770 0.98368 1.26489]
Step   23000 (g27.4+d86.5)s       | [D] min: 0.10       max: 1.57      | [R_te] min: 300.95         max: 464.98         Avg: 371.55 (14.45)      | ent 0.006 | w_noise: [0.01585 0.02422 0.04990 0.12999 0.24554 0.44872 0.65420 0.82726 0.97888 1.25619]
Step   24000 (g27.4+d86.9)s       | [D] min: 0.14       max: 1.93      | [R_te] min: 282.39         max: 510.67         Avg: 396.88 (23.92)      | ent 0.005 | w_noise: [0.01562 0.02397 0.04944 0.12927 0.24384 0.44720 0.65244 0.82571 0.98032 1.25756]
Step   25000 (g27.5+d86.8)s       | [D] min: 0.09       max: 1.99      | [R_te] min: 313.00         max: 513.57         Avg: 390.78 (18.40)      | ent 0.004 | w_noise: [0.01572 0.02405 0.04956 0.12951 0.24445 0.44665 0.65294 0.82451 0.97765 1.26117]
Step   26000 (g23.1+d72.6)s       | [D] min: 0.09       max: 1.54      | [R_te] min: 196.49         max: 300.64         Avg: 260.42 (10.97)      | ent 0.004 | w_noise: [0.01574 0.02415 0.04976 0.13008 0.24509 0.44918 0.65524 0.82669 0.97857 1.26266]
Step   27000 (g26.5+d83.4)s       | [D] min: 0.08       max: 1.88      | [R_te] min: 282.40         max: 487.39         Avg: 418.10 (19.60)      | ent 0.003 | w_noise: [0.01568 0.02424 0.04990 0.13030 0.24636 0.44968 0.65584 0.82924 0.98095 1.26305]
Step   28000 (g26.0+d82.0)s       | [D] min: 0.13       max: 2.74      | [R_te] min: 306.00         max: 762.05         Avg: 425.39 (45.82)      | ent 0.003 | w_noise: [0.01572 0.02427 0.05002 0.13092 0.24665 0.45012 0.65968 0.82937 0.98230 1.26250]
Step   29000 (g27.5+d87.0)s       | [D] min: 0.14       max: 2.08      | [R_te] min: 359.10         max: 490.31         Avg: 429.48 (13.60)      | ent 0.002 | w_noise: [0.01575 0.02444 0.05033 0.13111 0.24757 0.45149 0.65756 0.83110 0.98527 1.26927]
Step   30000 (g27.4+d86.8)s       | [D] min: 0.15       max: 3.08      | [R_te] min: 289.08         max: 413.70         Avg: 354.34 (12.66)      | ent 0.002 | w_noise: [0.01565 0.02422 0.05000 0.13044 0.24675 0.45106 0.65731 0.83100 0.98559 1.26672]
