Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 2.26       max: 3.31      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000 | w_noise: [0.36798 0.36796 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.5+d66.4)s       | [D] min: 0.10       max: 2.83      | [R_te] min: 164.30         max: 170.54         Avg: 166.92 (0.53)       | ent 0.741 | w_noise: [0.37126 0.37478 0.38267 0.42014 0.43733 0.45111 0.45859 0.46026 0.46368 0.46685]
Step    3000 (g21.5+d66.6)s       | [D] min: 0.13       max: 1.61      | [R_te] min: 247.55         max: 283.22         Avg: 269.12 (3.64)       | ent 0.553 | w_noise: [0.27407 0.27784 0.29259 0.36148 0.42588 0.49168 0.52612 0.53682 0.54993 0.56384]
Step    4000 (g21.6+d66.8)s       | [D] min: 0.18       max: 3.17      | [R_te] min: 274.43         max: 316.55         Avg: 294.74 (3.53)       | ent 0.417 | w_noise: [0.19781 0.20197 0.21490 0.28557 0.37935 0.50787 0.58530 0.61312 0.64002 0.66751]
Step    5000 (g21.6+d66.8)s       | [D] min: 0.17       max: 2.42      | [R_te] min: 294.96         max: 371.27         Avg: 334.27 (8.49)       | ent 0.315 | w_noise: [0.14405 0.14751 0.15942 0.22392 0.32767 0.50059 0.62529 0.68194 0.72760 0.77881]
Step    6000 (g21.7+d66.9)s       | [D] min: 0.21       max: 2.49      | [R_te] min: 170.28         max: 358.90         Avg: 194.11 (17.39)      | ent 0.241 | w_noise: [0.10590 0.10885 0.11976 0.18016 0.28542 0.48175 0.64333 0.73378 0.80473 0.88809]
Step    7000 (g21.7+d66.9)s       | [D] min: 0.18       max: 1.82      | [R_te] min: 177.00         max: 262.84         Avg: 221.64 (7.88)       | ent 0.185 | w_noise: [0.07847 0.08129 0.09179 0.15068 0.25700 0.46025 0.64643 0.76363 0.86307 0.98521]
Step    8000 (g21.7+d66.9)s       | [D] min: 0.19       max: 1.80      | [R_te] min: 136.06         max: 223.71         Avg: 175.39 (6.98)       | ent 0.144 | w_noise: [0.05869 0.06159 0.07215 0.13167 0.23828 0.44033 0.63708 0.77654 0.90119 1.06426]
Step    9000 (g21.7+d66.9)s       | [D] min: 0.14       max: 2.60      | [R_te] min: 165.91         max: 187.49         Avg: 178.03 (1.85)       | ent 0.113 | w_noise: [0.04452 0.04738 0.05844 0.12146 0.22831 0.42677 0.62739 0.78145 0.91852 1.11816]
Step   10000 (g21.7+d66.9)s       | [D] min: 0.17       max: 3.09      | [R_te] min: 153.49         max: 192.00         Avg: 175.38 (3.96)       | ent 0.089 | w_noise: [0.03432 0.03709 0.05000 0.11577 0.22239 0.41835 0.61979 0.77934 0.92322 1.15476]
Step   11000 (g21.8+d67.0)s       | [D] min: 0.16       max: 1.71      | [R_te] min: 291.19         max: 418.92         Avg: 350.04 (15.76)      | ent 0.070 | w_noise: [0.02695 0.03006 0.04546 0.11372 0.22033 0.41420 0.61776 0.77908 0.92692 1.17410]
Step   12000 (g21.8+d67.1)s       | [D] min: 0.13       max: 2.23      | [R_te] min: 202.01         max: 237.68         Avg: 216.16 (3.43)       | ent 0.054 | w_noise: [0.02185 0.02569 0.04377 0.11377 0.22065 0.41610 0.61616 0.78033 0.93056 1.18724]
Step   13000 (g21.8+d67.0)s       | [D] min: 0.15       max: 2.12      | [R_te] min: 144.89         max: 303.27         Avg: 218.00 (12.77)      | ent 0.043 | w_noise: [0.01855 0.02336 0.04363 0.11571 0.22351 0.41912 0.61821 0.78883 0.93480 1.20041]
Step   14000 (g21.8+d67.0)s       | [D] min: 0.18       max: 2.43      | [R_te] min: 184.46         max: 543.53         Avg: 289.14 (31.88)      | ent 0.033 | w_noise: [0.01670 0.02253 0.04443 0.11770 0.22705 0.42321 0.62606 0.79405 0.94366 1.21026]
Step   15000 (g21.8+d67.1)s       | [D] min: 0.08       max: 1.38      | [R_te] min: 227.74         max: 322.78         Avg: 274.73 (9.74)       | ent 0.027 | w_noise: [0.01582 0.02257 0.04549 0.12019 0.23123 0.42937 0.63279 0.79888 0.95348 1.22149]
Step   16000 (g21.8+d67.0)s       | [D] min: 0.10       max: 2.09      | [R_te] min: 173.76         max: 782.50         Avg: 387.66 (53.19)      | ent 0.022 | w_noise: [0.01583 0.02332 0.04737 0.12431 0.23727 0.43662 0.64150 0.81533 0.96659 1.23487]
Step   17000 (g21.9+d67.2)s       | [D] min: 0.01       max: 1.71      | [R_te] min: 175.17         max: 505.13         Avg: 351.98 (35.28)      | ent 0.019 | w_noise: [0.01587 0.02372 0.04846 0.12641 0.24095 0.44286 0.64848 0.82143 0.97180 1.24466]
Step   18000 (g21.8+d67.1)s       | [D] min: 0.07       max: 2.20      | [R_te] min: 308.67         max: 424.21         Avg: 371.70 (13.39)      | ent 0.017 | w_noise: [0.01589 0.02398 0.04893 0.12769 0.24250 0.44583 0.65214 0.82510 0.97657 1.24858]
Step   19000 (g21.8+d67.1)s       | [D] min: 0.11       max: 2.22      | [R_te] min: 252.29         max: 441.89         Avg: 338.63 (15.83)      | ent 0.015 | w_noise: [0.01609 0.02436 0.04966 0.12901 0.24461 0.44883 0.65264 0.82491 0.98236 1.25858]
Step   20000 (g21.8+d67.1)s       | [D] min: 0.11       max: 2.22      | [R_te] min: 379.40         max: 712.05         Avg: 495.63 (34.14)      | ent 0.013 | w_noise: [0.01604 0.02429 0.04965 0.12958 0.24499 0.44788 0.65469 0.82376 0.98471 1.25703]
Step   21000 (g21.9+d67.1)s       | [D] min: 0.08       max: 1.71      | [R_te] min: 278.30         max: 534.79         Avg: 431.91 (23.99)      | ent 0.011 | w_noise: [0.01591 0.02432 0.04964 0.12944 0.24598 0.44865 0.65355 0.82679 0.98566 1.25536]
Step   22000 (g21.8+d67.1)s       | [D] min: 0.05       max: 1.89      | [R_te] min: 292.39         max: 585.09         Avg: 437.39 (25.95)      | ent 0.009 | w_noise: [0.01577 0.02414 0.04924 0.12872 0.24420 0.44777 0.65370 0.82490 0.97539 1.25232]
Step   23000 (g21.9+d67.1)s       | [D] min: 0.06       max: 1.65      | [R_te] min: 235.66         max: 362.59         Avg: 303.47 (13.55)      | ent 0.007 | w_noise: [0.01564 0.02396 0.04900 0.12815 0.24404 0.44710 0.65442 0.82412 0.97688 1.25131]
Step   24000 (g21.9+d67.1)s       | [D] min: 0.05       max: 1.43      | [R_te] min: 274.00         max: 441.45         Avg: 356.32 (17.70)      | ent 0.006 | w_noise: [0.01563 0.02400 0.04916 0.12889 0.24429 0.44757 0.65546 0.82618 0.98074 1.25417]
Step   25000 (g22.0+d67.3)s       | [D] min: 0.09       max: 1.92      | [R_te] min: 284.46         max: 387.55         Avg: 327.38 (9.80)       | ent 0.005 | w_noise: [0.01570 0.02402 0.04943 0.12898 0.24484 0.44924 0.65583 0.82829 0.98187 1.25884]
Step   26000 (g21.9+d67.1)s       | [D] min: 0.13       max: 2.12      | [R_te] min: 294.57         max: 652.63         Avg: 405.77 (29.05)      | ent 0.005 | w_noise: [0.01554 0.02394 0.04943 0.12913 0.24510 0.44861 0.65505 0.82822 0.97859 1.25485]
Step   27000 (g21.9+d67.1)s       | [D] min: 0.09       max: 1.82      | [R_te] min: 342.14         max: 537.55         Avg: 401.38 (17.37)      | ent 0.004 | w_noise: [0.01536 0.02369 0.04900 0.12915 0.24474 0.44656 0.65579 0.82652 0.97773 1.25432]
Step   28000 (g21.9+d67.1)s       | [D] min: 0.08       max: 2.68      | [R_te] min: 378.18         max: 679.69         Avg: 456.02 (27.16)      | ent 0.003 | w_noise: [0.01532 0.02362 0.04911 0.12943 0.24495 0.44713 0.65633 0.82678 0.97861 1.25719]
Step   29000 (g21.9+d67.3)s       | [D] min: 0.11       max: 3.07      | [R_te] min: 355.46         max: 424.33         Avg: 393.82 (8.07)       | ent 0.003 | w_noise: [0.01533 0.02373 0.04898 0.12908 0.24490 0.44948 0.65706 0.83031 0.98451 1.25499]
Step   30000 (g21.9+d67.1)s       | [D] min: 0.14       max: 2.68      | [R_te] min: 382.50         max: 680.93         Avg: 451.63 (27.54)      | ent 0.002 | w_noise: [0.01530 0.02364 0.04904 0.12931 0.24484 0.45096 0.65568 0.83245 0.98268 1.25515]
Step   31000 (g21.9+d67.1)s       | [D] min: 0.00       max: 3.03      | [R_te] min: 279.10         max: 381.15         Avg: 320.80 (7.74)       | ent 0.002 | w_noise: [0.01511 0.02364 0.04882 0.12947 0.24544 0.45043 0.65655 0.82712 0.98203 1.25827]
Step   32000 (g21.7+d66.8)s       | [D] min: 0.10       max: 2.83      | [R_te] min: 232.56         max: 286.56         Avg: 246.34 (4.79)       | ent 0.002 | w_noise: [0.01512 0.02359 0.04888 0.12958 0.24554 0.45034 0.65675 0.83209 0.98046 1.26412]
Step   33000 (g21.6+d66.8)s       | [D] min: 0.10       max: 1.62      | [R_te] min: 225.55         max: 337.44         Avg: 289.59 (10.96)      | ent 0.002 | w_noise: [0.01507 0.02341 0.04868 0.12947 0.24554 0.45185 0.65728 0.83150 0.98175 1.25949]
Step   34000 (g21.6+d66.8)s       | [D] min: 0.14       max: 2.34      | [R_te] min: 245.94         max: 348.80         Avg: 278.85 (9.48)       | ent 0.002 | w_noise: [0.01491 0.02341 0.04857 0.12927 0.24466 0.44967 0.65916 0.83019 0.98094 1.26071]
Step   35000 (g21.6+d66.8)s       | [D] min: 0.17       max: 1.96      | [R_te] min: 277.82         max: 335.46         Avg: 296.43 (5.08)       | ent 0.002 | w_noise: [0.01474 0.02323 0.04846 0.12919 0.24438 0.45168 0.65717 0.83052 0.98648 1.26148]
Step   36000 (g21.8+d67.1)s       | [D] min: 0.12       max: 2.00      | [R_te] min: 290.29         max: 320.73         Avg: 308.62 (3.40)       | ent 0.002 | w_noise: [0.01476 0.02319 0.04837 0.12954 0.24545 0.45260 0.65828 0.83195 0.98986 1.27026]
Step   37000 (g21.9+d67.3)s       | [D] min: 0.10       max: 1.76      | [R_te] min: 325.53         max: 405.46         Avg: 362.22 (8.27)       | ent 0.001 | w_noise: [0.01467 0.02325 0.04839 0.12991 0.24600 0.45239 0.66028 0.83398 0.99238 1.27093]
Step   38000 (g21.9+d67.4)s       | [D] min: 0.13       max: 2.21      | [R_te] min: 320.86         max: 473.41         Avg: 382.79 (13.30)      | ent 0.002 | w_noise: [0.01465 0.02327 0.04846 0.13002 0.24635 0.45408 0.66010 0.83346 0.99170 1.27277]
Step   39000 (g21.8+d67.0)s       | [D] min: 0.14       max: 1.41      | [R_te] min: 265.95         max: 334.31         Avg: 296.49 (6.77)       | ent 0.002 | w_noise: [0.01462 0.02317 0.04841 0.13065 0.24789 0.45444 0.65974 0.83607 0.99205 1.27646]
Step   40000 (g21.8+d67.1)s       | [D] min: 0.14       max: 1.44      | [R_te] min: 296.10         max: 422.64         Avg: 351.88 (14.07)      | ent 0.002 | w_noise: [0.01459 0.02316 0.04860 0.13029 0.24733 0.45420 0.66215 0.83580 0.99025 1.27429]
Step   41000 (g22.1+d68.0)s       | [D] min: 0.11       max: 1.81      | [R_te] min: 261.32         max: 367.10         Avg: 316.99 (8.97)       | ent 0.002 | w_noise: [0.01454 0.02302 0.04845 0.12994 0.24674 0.45364 0.66319 0.83639 0.99461 1.27125]
Step   42000 (g22.2+d68.2)s       | [D] min: 0.18       max: 2.02      | [R_te] min: 265.57         max: 373.21         Avg: 307.38 (10.95)      | ent 0.002 | w_noise: [0.01449 0.02300 0.04833 0.12989 0.24723 0.45364 0.66555 0.83667 0.99237 1.27244]
Step   43000 (g22.1+d68.0)s       | [D] min: 0.15       max: 1.88      | [R_te] min: 240.36         max: 272.71         Avg: 252.79 (2.73)       | ent 0.002 | w_noise: [0.01430 0.02280 0.04823 0.13001 0.24820 0.45237 0.66469 0.83806 0.99023 1.27244]
Step   44000 (g22.0+d67.9)s       | [D] min: 0.13       max: 2.16      | [R_te] min: 269.54         max: 309.36         Avg: 289.00 (3.89)       | ent 0.002 | w_noise: [0.01416 0.02269 0.04818 0.12959 0.24839 0.45402 0.66179 0.84011 0.99191 1.27748]
